Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,Unnamed: 21
0.1019949999999953,1173,,,,0.0,-0.0390625,-1.03515625,,,22.20400047302246,0.1171875,446,0,2.60203130543232,,8.054244286741262,,,0.078125,,
0.1080000000000582,1173,,,,0.0,-0.0078125,-1.1015625,,0.1027528107626159,22.20600128173828,0.1318359375,446,0,2.927548997104168,,7.158831296002606,,0.0350985793454714,0.078125,,
0.1129950000000535,1173,,,,-0.0625,0.009765625,-1.03125,0.0055236841784359,,22.20800018310547,0.13671875,446,0,3.036250025033951,0.2579709148694142,8.4963660022211,0.3983116112707116,0.0338420123229038,0.078125,,
0.1190000000000582,1173,,,,,,,,0.1027528107626159,22.200000762939453,0.1171875,446,0,2.601562589406967,,9.91266223888879,,0.0394965745513886,,,
0.125,1173,,,,-0.09375,0.0234375,-0.984375,0.0062026112650518,,22.20400047302246,0.1171875,446,0,2.60203130543232,0.2895337978650027,11.127221923138912,0.3548905568894074,0.0394894598493479,0.080078125,,
0.1309949999999953,1173,,,,0.0,-0.01953125,-1.01171875,,0.1027528107626159,22.20400047302246,0.1171875,446,0,2.60203130543232,,11.126435725928504,,0.0394894598493479,0.078125,,
0.1370000000000582,1173,,,,-0.0625,-0.00390625,-1.08203125,0.0059355172932272,,22.20600128173828,0.13671875,446,0,3.035976737737656,0.2770332981062802,9.125013860044245,0.3709041890090633,0.0338450586545617,0.078125,,
0.1430000000000582,1173,,,,-0.0625,-0.0546875,-1.01171875,,0.0980460829740752,22.20400047302246,0.126953125,446,0,2.81886724755168,,9.82763748851406,,0.0347820859812511,0.078125,,
0.1480000000000582,1173,,,,-0.0625,0.025390625,-0.958984375,0.0053183042643808,,22.20800018310547,0.13671875,446,0,3.036250025033951,0.2482191773491487,8.175188976618394,0.3949980175631724,0.0322918343896856,0.078125,,
0.154,1173,,,,0.0625,-0.0546875,-1.1171875,,,22.20400047302246,0.13671875,446,0,3.03570318967104,,8.17661111398492,,,0.080078125,,
0.1599949999999953,1173,,,,-0.0625,-0.046875,-1.01953125,0.0043086652090568,0.0980460829740752,22.20400047302246,0.126953125,446,0,2.81886724755168,0.2010949994675304,7.133893929988758,0.487561019586199,0.0347820859812511,0.080078125,,
0.166,1173,,,,-0.0625,0.05859375,-1.125,,,22.20800018310547,0.126953125,446,0,2.8193750232458115,,7.132599558504436,,,0.080078125,,
0.1709950000000535,1173,,,,-0.125,0.0546875,-0.99609375,0.0037198178747507,0.0980460829740752,22.20800018310547,0.1171875,446,0,2.602500021457672,0.1735854996741937,6.669951901747448,0.5648287625297046,0.0376738067879666,0.080078125,,
0.1759950000000535,1173,,,,0.0,-0.0625,-0.953125,,,22.20400047302246,0.1171875,446,0,2.60203130543232,,6.670600958354369,,,0.080078125,,
0.183,1173,,,,-0.0625,0.01171875,-1.0625,0.0030454097439673,0.1080828038747533,22.20400047302246,0.1416015625,446,0,3.14412116073072,0.1420945326575344,4.519372040500835,0.7606401305759338,0.0343761573900778,0.080078125,,
0.188,1173,,,,0.0625,-0.046875,-1.11328125,,,22.20400047302246,0.13671875,446,0,3.03570318967104,,4.680686060755224,,,0.080078125,,
0.1939950000000535,1173,,,,-0.0625,-0.02734375,-1.05078125,,0.1042787362100423,22.20800018310547,0.107421875,446,0,2.3856250196695328,,5.956091916779962,,0.0437112854494154,0.080078125,,
0.1990000000000582,1173,,,,-0.125,0.05078125,-0.97265625,0.003313165698528,,22.20800018310547,0.126953125,446,0,2.8193750232458115,0.154581932754584,5.482843945202482,0.6745855375970516,0.0369864723033515,0.08203125,,
0.21,1173,,,,0.0,-0.0390625,-0.94921875,,0.1043861957485935,22.20600128173828,0.1171875,446,0,2.602265775203705,,5.940256421827373,,0.0401135797670098,0.08203125,,
0.215,1173,,,,-0.03125,-0.017578125,-1.05859375,0.0025762567730971,0.1043861957485935,22.205331802368164,0.1334635466337204,445,0,2.963602336522598,0.1201732930193507,4.054973622417862,0.8686305677900067,0.0352227404001432,0.080078125,,
0.2200000000000582,1173,,,,-0.0625,-0.046875,-1.0703125,,,22.20400047302246,0.13671875,445,0,3.03570318967104,,3.9556066402327614,,,0.08203125,,
0.226,1173,,,,-0.0625,0.03515625,-1.05078125,,,22.20400047302246,0.126953125,445,0,2.81886724755168,,4.25786956706027,,,0.08203125,,
0.231,1173,,,,-0.0625,0.046875,-1.0625,0.0036089538788074,0.1043861957485935,22.20400047302246,0.126953125,445,0,2.81886724755168,0.1681009844060956,5.963423235063637,0.6209731377683013,0.0370312563811786,0.08203125,,
0.2370000000000582,1173,,,,0.0,-0.0390625,-1.01953125,,,22.20400047302246,0.107421875,445,0,2.38519536331296,,7.046799217604538,,,0.080078125,,
0.2429950000000535,1173,,,,0.0625,-0.05859375,-1.08984375,0.0056355624474016,0.1021940211621499,22.200000762939453,0.126953125,445,0,2.818359471857548,0.2624492149773511,9.31212705824122,0.3893858900319786,0.0362601088266412,0.08203125,,
