Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
0.832355,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000144023,0.163872711,22.20099831,0.082194008,0,0,1.824789031,0,0,0,0,0.05859375,,0.001607042
0.85865,1000,,,,-0.0625,-0.015625,-1.01171875,-1.15E-05,0.472794916,22.20249939,0.079345703,0,0,1.761672925,0,0,0,0,0.05859375,,0.004636534
0.882185,1000,,,,-0.0625,-0.015625,-1.01171875,2.15E-05,-0.174945191,22.20249939,0.073242188,0,0,1.626159623,0,0,0,0,0.05859375,,-0.001715626
0.90826,1000,,,,-0.0625,-0.01171875,-1.009765625,-3.35E-05,-0.438470226,22.20199966,0.083007813,0,0,1.842939425,0,0,0,0,0.05859375,,-0.004299924
0.93276,1000,,,,-0.0625,-0.015625,-1.01171875,-6.28E-05,0.307814957,22.20355415,0.082465276,0,0,1.831022224,0,0,0,0,0.05859375,,0.003018634
0.9597,1000,,,,-0.0625,-0.013671875,-1.01171875,-4.39E-05,-0.10186682,22.20199966,0.078125,0,0,1.734531224,0,0,0,0,0.05859375,,-0.000998972
0.98235,1000,,,,-0.0625,-0.013671875,-1.009765625,5.41E-05,-0.068649379,22.20149994,0.076904297,0,0,1.707390742,0,0,0,0,0.05859375,,-0.00067322
1.004985,1000,,,,-0.0625,-0.013671875,-1.009765625,-3.68E-05,-0.38532232,22.20100021,0.080566406,0,0,1.788654802,0,0,0,0,0.05859375,,-0.003778721
1.027955,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000166001,-0.048718914,22.20449829,0.079345703,0,0,1.761831529,0,0,0,0,0.05859375,,-0.000477769
1.051945,1000,,,,-0.0625,-0.015625,-1.01171875,-0.000169071,0.088579844,22.20114326,0.076729909,0,0,1.703491693,0,0,0,0,0.05859375,,0.000868672
1.0803,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.0001795,0.569125495,22.20199966,0.078125,0,0,1.734531224,0,0,0,0,0.05859375,,0.005581215
1.10486,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000174809,-0.352104879,22.20133209,0.080295138,0,0,1.782659025,0,0,0,0,0.05859375,,-0.003452969
1.133255,1000,,,,-0.0625,-0.015625,-1.009765625,-0.000178509,-0.785038864,22.1989994,0.076904297,0,0,1.707198441,0,0,0,0,0.05859375,,-0.007698601
1.157465,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000151345,-0.905728901,22.20266533,0.075954862,0,0,1.68640038,0,0,0,0,0.05859375,,-0.008882166
1.180725,1000,,,,-0.0625,-0.01171875,-1.01171875,-3.18E-06,-0.850366499,22.20249939,0.075683594,0,0,1.680364944,0,0,0,0,0.05859375,,-0.008339247
1.20386,1000,,,,-0.0625,-0.013671875,-1.009765625,-1.97E-05,-0.57244724,22.20099831,0.069580078,0,0,1.544747197,0,0,0,0,0.05859375,,-0.00561379
1.22895,1000,,,,-0.0625,-0.015625,-1.01171875,-0.000146452,0.276812011,22.20100021,0.073242188,0,0,1.62604982,0,0,0,0,0.05859375,,0.002714599
1.252035,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000177026,-0.347675886,22.20399857,0.073242188,0,0,1.626269426,0,0,0,0,0.05859375,,-0.003409536
1.27407,1000,,,,-0.0625,-0.015625,-1.009765625,-0.00010965,-0.479438404,22.20342827,0.079520091,0,0,1.765618646,0,0,0,0,0.05859375,,-0.004701685
1.299615,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.00014611,-0.338817902,22.20249939,0.085449219,0,0,1.897186227,0,0,0,0,0.05859375,,-0.003322669
1.323245,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000207211,-0.179374183,22.20350266,0.075683594,0,0,1.680440875,0,0,0,0,0.05859375,,-0.00175906
1.34827,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000348791,0.053147906,22.20114326,0.069754466,0,0,1.548628902,0,0,0,0,0.05859375,,0.000521203
1.37079,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.000338399,0.292313484,22.20000076,0.078125,0,0,1.73437506,0,0,0,0,0.05859375,,0.002866616
1.39704,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000304572,-0.560267511,22.20299911,0.078125,0,0,1.734609306,0,0,0,0,0.05859375,,-0.005494347
1.426725,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000211861,-0.126226277,22.2017765,0.083550349,0,0,1.854966173,0,0,0,0,0.05859375,,-0.001237857
1.451585,1000,,,,-0.0625,-0.013671875,-1.01171875,-7.74E-05,-0.048718914,22.2023983,0.078125,0,0,1.734562367,0,0,0,0,0.05859375,,-0.000477769
1.47501,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.00015323,-0.248023562,22.20199966,0.085449219,0,0,1.897143526,0,0,0,0,0.05859375,,-0.00243228
1.499295,1000,,,,-0.0625,-0.013671875,-1.01171875,-5.84E-05,-0.179374183,22.20114326,0.083705358,0,0,1.85835465,0,0,0,0,0.05859375,,-0.00175906
