Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1179,,,,,,,,0.22961954197611142,22.20400047302246,0.1513671875,462,0,3.3609571028500795,,16.90387722823851,,0.06831968839512854,,,
0.008004999999888242,1179,,,,-0.0625,0.0234375,-1.08984375,,0.23699126632072076,22.200000762939453,0.126953125,462,0,2.8183594718575478,,19.384984085963822,,0.08408837434939503,0.083984375,,
0,1179,,,,0,-0.021484375,-1.03125,0.011289846779640721,,22.202667236328125,0.1692708283662796,462,0,3.7582638750341175,0.5463511604975555,14.537328369275182,0.4202783092233201,0.06109723787663179,0.083984375,,
0.015,1179,,,,-0.0625,-0.025390625,-1.017578125,0.011138424286869604,,22.20400047302246,0.1416015625,462,0,3.1441211607307196,0.5390050481403326,17.143265815337198,0.4396828325418929,0.07537599672706062,0.083984375,,
0.021005000000121073,1179,,,,0.0625,-0.046875,-1.0546875,,0.22785720554387245,22.20199966430664,0.13671875,462,0,3.0354296416044235,,17.757068111800336,,0.07506588274055168,0.083984375,,
0.027,1179,,,,-0.125,0.02734375,-1.0078125,0.011969662942606471,0.23234901425531082,22.20400047302246,0.107421875,462,0,2.3851953633129597,0.5792269176634754,24.28425472280593,0.401136423687932,0.09741299091433145,0.083984375,,
0.03299999999976717,1179,,,,0,-0.02734375,-1.03125,,,22.20400047302246,0.126953125,462,0,2.8188672475516796,,20.54819577643759,,,0.083984375,,
0.039005000000121075,1179,,,,-0.0625,-0.05859375,-1.00390625,0.014559278018899816,0.23234901425531082,22.20400047302246,0.146484375,462,0,3.2525391317903996,0.705102957262521,21.678538787460756,0.3295249464806933,0.07143619333717638,0.083984375,,
0.04500499999988824,1179,,,,0,-0.0078125,-0.98828125,,,22.20199966430664,0.1416015625,463,0,3.143837843090296,,22.435829734993582,,,0.08203125,,
0.051,1179,,,,-0.0625,0.017578125,-1.029296875,0.014559278018899816,,22.20800018310547,0.126953125,463,0,2.8193750232458115,0.7055092740135809,25.02360516769287,0.32933516654359124,0.08241153175423202,0.083984375,,
0.05700499999988824,1179,,,,-0.0625,-0.01171875,-1.05859375,,0.23234901425531082,22.20600128173828,0.09765625,463,0,2.168554812669754,,32.53661309612939,,0.1071446351726111,0.08203125,,
0.06300499999988825,1179,,,,-0.0625,0.04296875,-0.98046875,0.009838388641595476,,22.20400047302246,0.1416015625,463,0,3.1441211607307196,0.47681111454786435,15.165163496340883,0.48729781493377206,0.07389951034880315,0.083984375,,
0.069,1179,,,,-0.03125,-0.0078125,-1.06640625,,0.21960431298314362,22.200000762939453,0.13671875,463,0,3.0351563543081284,,15.709949435854288,,0.07235354207417857,0.08203125,,
0.07500499999988824,1179,,,,,,,0.008651042166312179,,22.20800018310547,0.1416015625,463,0,3.1446875259280205,0.41928074615716066,13.332985954889995,0.5237643631287292,0.0698334289726725,,,
0.08100499999988824,1179,,,,-0.0625,0.009765625,-1.025390625,,0.21960431298314362,22.200000762939453,0.146484375,463,0,3.251953236758709,,12.89698431530353,,0.06752997260256667,0.08203125,,
0.087,1179,,,,0,-0.00390625,-0.98046875,0.008628014286999958,,22.200000762939453,0.1318359375,463,0,2.926757913082838,0.4184681275781874,14.298009606725653,0.5247814552904326,0.07503330289174073,0.08203125,,
0.09200499999988825,1179,,,,-0.0625,-0.046875,-1.01953125,,0.2250202737261219,22.200000762939453,0.15625,463,0,3.4687501192092896,,12.06619055951013,,0.06487070731327739,0.08203125,,
0.098,1179,,,,-0.0625,0.05078125,-1.05078125,0.008628014286999958,,22.20400047302246,0.126953125,463,0,2.8188672475516796,0.4185938117074698,14.849717100762316,0.5375623514553415,0.07982648843132387,0.08203125,,
0.10400499999988824,1179,,,,-0.0625,-0.02734375,-1.02734375,,,22.20400047302246,0.146484375,463,0,3.2525391317903996,,12.870469183067856,,,0.08203125,,
0.109,1179,,,,-0.03125,-0.015625,-1.044921875,,0.2250202737261219,22.20400047302246,0.126953125,463,0,2.8188672475516796,,14.850897349704606,,0.07982648843132387,0.08203125,,
0.11500500000012107,1179,,,,,,,0.009621800415874054,,22.20600128173828,0.1416015625,463,0,3.1444044783711433,0.4668519589352491,14.847070793420528,0.48199492241464814,0.07156212735159516,,,
0.12100499999988824,1179,,,,-0.0625,0.00390625,-1.076171875,,0.2193249181829106,22.20800018310547,0.13671875,463,0,3.036250025033951,,15.376049189958657,,0.07223546031274487,0.08203125,,
0.12600500000012108,1179,,,,0,-0.00390625,-1.09375,0.010079102134623439,,22.20800018310547,0.13671875,463,0,3.036250025033951,0.4890453504721462,16.106886667433713,0.4484756229072918,0.07223546031274487,0.08203125,,
0.13200499999988824,1179,,,,-0.125,0.0546875,-1.015625,,0.2193249181829106,22.20800018310547,0.146484375,463,0,3.25312502682209,,15.021116617633762,,0.06741976295856189,0.083984375,,
0.13700500000012109,1179,,,,0.0625,-0.1015625,-1.015625,0.009116293753040369,,22.200000762939453,0.15625,463,0,3.4687501192092896,0.4418248235529191,12.737291772796658,0.4964069615175011,0.06322880306895853,0.083984375,,
0.143,1179,,,,-0.0625,0.01953125,-1.08984375,,0.2212376979691212,22.20600128173828,0.15625,463,0,3.4696877002716064,,12.731161202207183,,0.06376300032760954,0.083984375,,
0.149,1179,,,,-0.0625,-0.005859375,-1.04296875,,,22.200000762939453,0.13671875,463,0,3.0351563543081284,,14.552337600984616,,,0.083984375,,
0.15500500000012107,1179,,,,-0.0625,-0.0390625,-0.98046875,0.008428195462379369,0.2212376979691212,22.20800018310547,0.126953125,463,0,2.8193750232458115,0.4083273245642672,14.4829021041046,0.5418145802640262,0.07847047524540417,0.083984375,,
0.165,1179,,,,0,-0.0078125,-1.03125,,,22.20400047302246,0.146484375,463,0,3.2525391317903996,,12.553694045530786,,,0.083984375,,
0.17100499999988825,1179,,,,-0.09375,-0.0078125,-0.982421875,0.00913053525132742,0.2212376979691212,22.20533561706543,0.1399739533662796,463,0,3.108168612145704,0.4423366127516507,14.23142267839474,0.5001568750840321,0.07117943894825937,0.083984375,,
0.17700499999988825,1179,,,,-0.0625,-0.02734375,-1.0703125,,,22.20400047302246,0.146484375,462,0,3.2525391317903996,,13.58704273986703,,,0.083984375,,
0.18200499999988823,1179,,,,0,-0.02734375,-0.953125,,0.23516445416535112,22.20400047302246,0.13671875,462,0,3.0357031896710396,,14.551667704226581,,0.07746622099469297,0.083984375,,
0.18800499999988823,1179,,,,0,-0.046875,-1.10546875,0.009736034367837775,,22.20400047302246,0.126953125,462,0,2.8188672475516796,0.47092354127241387,16.706126962219784,0.499368652350544,0.08342516107120782,0.083984375,,
0.19300500000012108,1179,,,,-0.0625,0,-0.96875,,0.23516445416535112,22.20800018310547,0.146484375,462,0,3.25312502682209,,14.474487503678956,,0.07228878454606412,0.083984375,,
0.20000499999988824,1179,,,,0,-0.033203125,-1.041015625,,,22.20400047302246,0.146484375,462,0,3.2525391317903996,,14.476145288173651,,,0.083984375,,
0.20600499999988825,1179,,,,0.0625,-0.05078125,-0.9921875,0.008953904768702564,0.22450446794107634,22.20400047302246,0.1318359375,462,0,2.9272852186113596,0.43300276081516487,14.791956658756058,0.5184827632933042,0.07669374562946633,0.083984375,,
0.212,1179,,,,-0.0625,-0.0078125,-1.0859375,0.009534693505343883,,22.20400047302246,0.13671875,462,0,3.0357031896710396,0.46108274980279057,15.188663745903144,0.48690710731880343,0.07395468328555682,0.083984375,,
0.21700499999988823,1179,,,,-0.0625,-0.00390625,-0.94921875,,0.22450446794107634,22.20400047302246,0.1318359375,462,0,2.9272852186113596,,15.751112138311502,,0.07669374562946633,0.083984375,,
0.221,1179,,,,-0.0625,-0.03515625,-1.01953125,,,22.20400047302246,0.146484375,462,0,3.2525391317903996,,14.19495070879504,,,0.083984375,,
0.22800499999988824,1179,,,,-0.03125,-0.048828125,-0.986328125,0.009534693505343883,,22.20400047302246,0.1171875,463,0,2.6020313054323196,0.46207428302296044,17.758213825416995,0.48586228705985085,0.08628046383314962,0.083984375,,
