Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
0.821585,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001402409,-5.444338641,22.19949913,0.080566406,0,0,1.788533865,0,0,0,0,0.05859375,,-0.053390724
0.84957,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001413078,-6.259273202,22.19999886,0.079345703,0,0,1.761474519,0,0,0,0,0.05859375,,-0.061382502
0.871375,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001362398,-5.850698674,22.19959831,0.079101563,0,0,1.756022913,0,0,0,0,0.05859375,,-0.057375754
0.9036,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001344308,-4.98593795,22.19943047,0.073939733,0,0,1.641419966,0,0,0,0,0.05859375,,-0.048895348
0.926915,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.00145126,-5.348367916,22.19927216,0.079012781,0,0,1.754026238,0,0,0,0,0.05859375,,-0.052449572
0.950015,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.00143667,-4.272870208,22.19999886,0.083705358,0,0,1.858258856,0,0,0,0,0.05859375,,-0.041902543
0.976005,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001175098,-4.627189583,22.20299911,0.078125,0,0,1.734609306,0,0,0,0,0.05859375,,-0.045377229
0.998915,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001266762,-5.013619151,22.20199966,0.072021484,0,0,1.599020972,0,0,0,0,0.05859375,,-0.049166808
1.021375,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001280134,-5.029120624,22.20049858,0.080566406,0,0,1.788614388,0,0,0,0,0.05859375,,-0.049318826
1.048405,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001254319,-5.613747592,22.20057106,0.087890625,0,0,1.951222066,0,0,0,0,0.05859375,,-0.055052058
1.072395,1000,,,,-0.0625,-0.015625,-1.009765625,-0.00119502,-5.966959718,22.20088768,0.073784724,0,0,1.638086367,0,0,0,0,0.05859375,,-0.058515886
1.099725,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.001320366,-4.994795934,22.20149994,0.080566406,0,0,1.788695063,0,0,0,0,0.05859375,,-0.048982216
1.12399,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001366908,-5.392297983,22.19955444,0.079210073,0,0,1.758428323,0,0,0,0,0.05859375,,-0.052880379
1.14914,1000,,,,-0.0625,-0.015625,-1.0078125,-0.001398777,-5.830768209,22.19999886,0.076904297,0,0,1.707275303,0,0,0,0,0.05859375,,-0.057180303
1.173195,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001404266,-6.542728702,22.1989994,0.074462891,0,0,1.653001665,0,0,0,0,0.05859375,,-0.06416225
1.20075,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001450145,-6.014571384,22.19900131,0.075683594,0,0,1.680100197,0,0,0,0,0.05859375,,-0.058982796
1.227625,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.001279917,-5.474234338,22.20000076,0.076171875,0,0,1.691015683,0,0,0,0,0.05859375,,-0.0536839
1.258635,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.001107295,-5.249462985,22.19999886,0.081787109,0,0,1.815673735,0,0,0,0,0.05859375,,-0.051479646
1.281595,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001318974,-5.700472795,22.20119858,0.078125,0,0,1.734468639,0,0,0,0,0.05859375,,-0.055902542
1.304505,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001451544,-5.659144762,22.19999886,0.070800781,0,0,1.571777263,0,0,0,0,0.05859375,,-0.055497252
1.3277,1000,,,,-0.0625,-0.015625,-1.0078125,-0.00141148,-5.251677481,22.20228577,0.087890625,0,0,1.951372772,0,0,0,0,0.05859375,,-0.051501363
1.350455,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001430153,-5.551741701,22.20000076,0.073242188,0,0,1.625976618,0,0,0,0,0.05859375,,-0.054443988
1.373615,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001309809,-5.803087008,22.19942856,0.076729909,0,0,1.703360124,0,0,0,0,0.05859375,,-0.056908843
1.40253,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001274538,-5.785371039,22.20050049,0.079345703,0,0,1.761514321,0,0,0,0,0.05859375,,-0.056735109
1.42559,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001402385,-5.883916115,22.20133209,0.074869789,0,0,1.662209053,0,0,0,0,0.05859375,,-0.057701506
1.45303,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001375441,-5.980246695,22.19850159,0.074462891,0,0,1.652964596,0,0,0,0,0.05859375,,-0.058646186
1.476705,1000,,,,-0.0625,-0.015625,-1.009765625,-0.001276816,-5.704541931,22.19777679,0.078125,0,0,1.734201312,0,0,0,0,0.05859375,,-0.055942446
1.50089,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001379868,-5.250570233,22.1989994,0.074462891,0,0,1.653001665,0,0,0,0,0.05859375,,-0.051490505
1.523825,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001305836,-4.751201364,22.19885635,0.068359375,0,0,1.517499946,0,0,0,0,0.05859375,,-0.046593369
1.548365,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.00145904,-4.90067985,22.19950104,0.074462891,0,0,1.653039018,0,0,0,0,0.05859375,,-0.048059252
1.57498,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001510474,-5.304825387,22.20149803,0.080566406,0,0,1.78869491,0,0,0,0,0.05859375,,-0.052022566
1.59975,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001363616,-5.307039883,22.19866562,0.080295138,0,0,1.782444921,0,0,0,0,0.05859375,,-0.052044283
1.62497,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001389005,-5.561706934,22.20000076,0.074462891,0,0,1.653076229,0,0,0,0,0.05859375,,-0.054541713
1.64983,1000,,,,-0.0625,-0.015625,-1.01171875,-0.001490658,-4.638262063,22.20050049,0.078125,0,0,1.734414101,0,0,0,0,0.05859375,,-0.045485813
1.673795,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001445909,-5.03133512,22.20049858,0.075683594,0,0,1.680213516,0,0,0,0,0.05859375,,-0.049340543
1.70264,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.001354127,-5.466483602,22.19999886,0.078125,0,0,1.734374911,0,0,0,0,0.05859375,,-0.053607891
1.72769,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001311304,-4.995543327,22.20039749,0.078125,0,0,1.734406054,0,0,0,0,0.05859375,,-0.048989545
1.75195,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001259989,-4.966007485,22.20100021,0.075683594,0,0,1.680251481,0,0,0,0,0.05859375,,-0.048699897
1.775325,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.001192121,-4.890714618,22.20049858,0.073242188,0,0,1.62601308,0,0,0,0,0.05859375,,-0.047961527
1.80116,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001224583,-5.150917909,22.20099831,0.076904297,0,0,1.707352165,0,0,0,0,0.05859375,,-0.050513249
1.823055,1000,,,,-0.0625,-0.015625,-1.01171875,-0.001408421,-5.519631508,22.19999886,0.079345703,0,0,1.761474519,0,0,0,0,0.05859375,,-0.054129094
1.85097,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001346525,-5.056801825,22.19885635,0.079520091,0,0,1.765255087,0,0,0,0,0.05859375,,-0.049590286
1.87296,1000,,,,-0.0625,-0.015625,-1.01171875,-0.001428813,-4.901039706,22.20133209,0.074869789,0,0,1.662209053,0,0,0,0,0.05859375,,-0.048062781
1.904365,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001385734,-4.850853688,22.20149994,0.075683594,0,0,1.680289302,0,0,0,0,0.05859375,,-0.047570624
1.929795,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001295407,-5.715974268,22.2003994,0.080078125,0,0,1.777766358,0,0,0,0,0.05859375,,-0.056054559
1.95199,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001463083,-4.85528268,22.19999886,0.081787109,0,0,1.815673735,0,0,0,0,0.05859375,,-0.047614058
1.974275,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.001472949,-4.512035786,22.20171547,0.072544642,0,0,1.610615496,0,0,0,0,0.05859375,,-0.044247956
1.999985,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001398236,-5.289323914,22.19999886,0.080566406,0,0,1.788574127,0,0,0,0,0.05859375,,-0.051870548
2.023555,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001451488,-5.599353367,22.20049858,0.079345703,0,0,1.76151417,0,0,0,0,0.05859375,,-0.054910899
2.05289,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001468684,-5.696791195,22.1989994,0.073242188,0,0,1.625903277,0,0,0,0,0.05859375,,-0.055866437
2.07679,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001343379,-5.942600261,22.19919968,0.073242188,0,0,1.625917945,0,0,0,0,0.05859375,,-0.058277001
2.099335,1000,,,,-0.0625,-0.015625,-1.01171875,-0.00121872,-5.191886086,22.20057297,0.078125,0,0,1.734419763,0,0,0,0,0.05859375,,-0.05091501
2.122585,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001398905,-5.161990389,22.1989994,0.068359375,0,0,1.517509725,0,0,0,0,0.05859375,,-0.050621833
2.154005,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001347749,-5.565028678,22.19999886,0.07114955,0,0,1.579519937,0,0,0,0,0.05859375,,-0.054574288
2.178855,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001317497,-5.540309365,22.19890785,0.077237219,0,0,1.714581899,0,0,0,0,0.05859375,,-0.054331875
2.203045,1000,,,,-0.0625,-0.009765625,-1.01171875,-0.001373498,-5.113271475,22.19999886,0.072021484,0,0,1.598876871,0,0,0,0,0.05859375,,-0.050144064
2.22497,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001408642,-5.051265585,22.19999886,0.083007813,0,0,1.842773343,0,0,0,0,0.05859375,,-0.049535994
2.247325,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001442312,-5.030227872,22.19599915,0.083705358,0,0,1.857924059,0,0,0,0,0.05859375,,-0.049329684
2.286335,1000,,,,-0.0625,-0.015625,-1.01171875,-0.001356117,-5.231747016,22.20114136,0.080915175,0,0,1.796409247,0,0,0,0,0.05859375,,-0.051305912
2.31037,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001248467,-6.077684523,22.19907761,0.076622598,0,0,1.700950997,0,0,0,0,0.05859375,,-0.059601725
2.346885,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.00136576,-5.398941471,22.20000076,0.085449219,0,0,1.896972721,0,0,0,0,0.05859375,,-0.052945529
2.37467,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001468758,-5.339509932,22.20030785,0.075120196,0,0,1.667691471,0,0,0,0,0.05859375,,-0.052362705
2.40217,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001480559,-5.672431738,22.20149994,0.081787109,0,0,1.815796504,0,0,0,0,0.05859375,,-0.055627553
2.425735,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001259241,-5.442124145,22.20039749,0.076171875,0,0,1.691045903,0,0,0,0,0.05859375,,-0.053369007
2.448465,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001326392,-5.501915539,22.19828606,0.076729909,0,0,1.70327246,0,0,0,0,0.05859375,,-0.05395536
2.47164,1000,,,,-0.0625,-0.015625,-1.009765625,-0.001328183,-5.501915539,22.19999886,0.079520091,0,0,1.765345938,0,0,0,0,0.05859375,,-0.05395536
2.495745,1000,,,,-0.0625,-0.015625,-1.009765625,-0.001344705,-5.677967978,22.20099831,0.081787109,0,0,1.815755477,0,0,0,0,0.05859375,,-0.055681845
2.51812,1000,,,,-0.0625,-0.015625,-1.009765625,-0.001279826,-5.730008637,22.20149803,0.075683594,0,0,1.680289158,0,0,0,0,0.05859375,,-0.056192189
2.550175,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.001315928,-5.313683371,22.19828606,0.073939733,0,0,1.641335349,0,0,0,0,0.05859375,,-0.052109433
2.574085,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001391885,-5.803087008,22.19745445,0.073686078,0,0,1.635643364,0,0,0,0,0.05859375,,-0.056908843
2.59824,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001466927,-4.75341586,22.19999886,0.079345703,0,0,1.761474519,0,0,0,0,0.05859375,,-0.046615086
2.62188,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.001457085,-4.642691056,22.19949913,0.074462891,0,0,1.653038876,0,0,0,0,0.05859375,,-0.045529246
2.644995,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.00136616,-5.419979184,22.19828606,0.078125,0,0,1.734241098,0,0,0,0,0.05859375,,-0.053151839
