rank,AR,lambda,aoaRoot (deg),aoaTip (deg),eta_pred,LD_pred,DMS,stage
1,9.835520983636322,0.5211697253045879,19.756996027362554,7.895637198436208,0.4173899572497359,18.141660793305213,0.7917460730796838,coarse
2,9.967230865990512,0.5664630254884996,19.65097168618898,7.739837121813189,0.40403902680296877,18.24353411176162,0.7862241745459786,coarse
3,9.92946673241813,0.6320703317907274,19.317051360665005,7.759327387769614,0.3946813308155302,18.242997747927983,0.7720578799973492,coarse
4,9.584643087359067,0.5439818742621931,18.975484384654045,7.90447995168101,0.4154488660622733,17.987995390824363,0.7668308754170235,coarse
5,10.0,0.507427885394514,20.0,8.0,0.4179131953680193,18.239837620120994,0.7627776923611653,refine
6,9.345217162200951,0.5005259862801941,19.568575277000097,7.6659382093409345,0.4296549889254175,17.808221024359256,0.7624912184121846,coarse
7,9.69205863619101,0.5976229472727896,18.69459341957043,7.919414753921116,0.4032692144737572,18.079084461251195,0.7615290873325009,coarse
8,9.344463138367418,0.5785509513692266,19.857915589252276,7.778555489185026,0.42525542421866097,17.840208483718722,0.7604450000951714,coarse
9,10.0,0.5010370350493647,20.0,7.936533535592143,0.4175345175847719,18.237020273365612,0.7600114604318294,refine
10,10.0,0.5167903885111312,20.0,8.0,0.4168100968104659,18.243896489819466,0.7597029474616406,refine
11,9.963922417255688,0.5064991734663026,20.0,7.996071186378484,0.4191097571875656,18.21678128614352,0.7585344100610196,refine
12,9.664105019329776,0.6205916551126506,18.868782740270206,7.859622505568722,0.4020557851519483,18.068842998840704,0.7582363159324896,coarse
13,10.0,0.5125535881647469,19.904465862681302,8.0,0.4163975986914613,18.24206981115921,0.7571943746279293,refine
14,9.722377083507617,0.5070543796422544,18.442941484035813,7.387058265807948,0.401073797060486,18.062570586622957,0.7558600667518407,coarse
15,10.0,0.5317800202510786,20.0,8.0,0.41504400488562093,18.25022577706705,0.7547115014455797,refine
16,9.93271800809451,0.5097449377653169,20.0,8.0,0.41979827794343744,18.198526545409088,0.7540663382757972,refine
17,10.0,0.5,19.831831742076822,7.940702265873135,0.41612620472746675,18.236559523061235,0.7537934776219504,refine
18,10.0,0.5,20.0,7.848694600987386,0.4160904694670665,18.236559523061235,0.7536404492350481,refine
19,9.777476876631095,0.6648257361348405,19.00653527808712,7.622323600757195,0.3902910253636267,18.15636844057939,0.7530491887839654,coarse
20,9.904803457432356,0.5329606945078285,19.20962330377916,6.574187278277577,0.38499249448635114,18.19075191815703,0.749992348753483,coarse
21,10.0,0.5,19.776560673256736,7.9040521671118995,0.41494525511975766,18.236559523061235,0.7487363208681904,refine
22,9.676982328868903,0.663509856172293,18.587114232637184,7.839126075112541,0.393532655010051,18.09090146414006,0.7485603643524654,coarse
23,10.0,0.5502892697411134,20.0,8.0,0.4128632284245039,18.257755069090024,0.7484317964310406,refine
24,9.893710739346275,0.5121589416463528,19.990281703337313,8.0,0.4206722800530379,18.17486950933667,0.7481977126154966,refine
25,9.916972958347177,0.616123078996235,18.397133446791536,7.293067860748346,0.37986846970740273,18.229819298246273,0.7478686154182351,coarse
26,9.50295394385283,0.7041770977096651,19.337865596727518,7.892013057982823,0.4024306197994586,17.987557939934888,0.7471671846600532,coarse
27,9.936907577588583,0.5187294364569073,20.0,7.940903608102338,0.4175516032114554,18.205057844527953,0.7470989752689603,refine
28,10.0,0.5013706428908333,19.569919113480605,7.9969679364038555,0.4144685416542879,18.237168281112112,0.7469422257467333,refine
29,9.924634686032682,0.5071734497525421,20.0,7.900979128135765,0.41859491207076954,18.19229034750454,0.7463795550947483,refine
30,10.0,0.5453144540428325,19.889194188195752,8.0,0.4123919464326334,18.255762383659555,0.7456040496038858,refine
31,9.947568810152031,0.5238897752374607,19.909349646344452,5.8964305872978375,0.3792821200283334,18.213980944169034,0.7447189878946859,coarse
32,9.822656340182442,0.5,20.0,8.0,0.42447667946320755,18.124163480815636,0.7438884418007699,refine
33,10.0,0.5,19.534907619851165,7.944951219338608,0.4133684213877753,18.236559523061235,0.7419838774911015,refine
34,10.0,0.5155700005262234,19.87971790620249,7.812223875622,0.4124578468604355,18.243372031412473,0.7408523188099759,refine
35,10.0,0.5728385850414918,20.0,8.0,0.4102064477674683,18.266502539616376,0.7406086280694109,refine
36,10.0,0.5728858511040932,20.0,8.0,0.4102008788373619,18.26652038641051,0.7405920311224186,refine
37,9.81707310704246,0.7114836377311138,18.643675331093842,7.509660837328032,0.37805206435096284,18.194604835215976,0.7400938335477798,coarse
38,9.531302264136311,0.5222287382181903,18.609196124543253,7.070656611857965,0.4013595873213305,17.94344671098999,0.7392413788163124,coarse
39,9.766155426952396,0.6199052721518898,17.851385890922366,7.508451519187208,0.38289272514409733,18.134846258878067,0.7388295954429207,coarse
40,9.880806290279374,0.8159794882969322,19.92199541172647,7.241260507270485,0.3711092450134189,18.256840814425797,0.7385474962796512,coarse
41,9.84805745527544,0.5855923082305372,18.37609476462908,6.913492549114572,0.3787072297558762,18.175274350341184,0.7383137152577556,coarse
42,10.0,0.5120134875943263,19.43313831259468,8.0,0.41196335756833824,18.24183575250103,0.738110620025926,refine
43,8.877250134763294,0.5828085902702003,19.956264616038805,7.828427780752506,0.441567514799454,17.512141569362146,0.7380526116802781,coarse
44,9.949250479828574,0.5025908749176788,19.380468729954217,5.8366179526724355,0.37562402506898795,18.205815004688866,0.73804242409963,coarse
45,10.0,0.564174916778796,19.83948519925186,8.0,0.40969541709783774,18.263196786982377,0.7370771951837136,refine
46,9.180459355932344,0.5347082657246828,18.37992405744867,7.796745291115496,0.42190132668040214,17.709268232822986,0.736654712367316,coarse
47,9.762659061964266,0.5,20.0,8.0,0.4264011009760925,18.08553681041831,0.736436164062535,refine
48,9.906842206405885,0.5080160071261159,19.630013567337745,8.0,0.4173011737262946,18.18139249799626,0.7364118424433557,refine
49,9.951755715649698,0.7503164285769528,17.505727606724843,7.934248461010488,0.36586806471963573,18.28911203489321,0.7352747009346859,coarse
50,9.782774607297894,0.7552187845353882,18.981483716198156,7.428729831950869,0.3757799238497113,18.182898146069867,0.7349972975838523,coarse
51,9.52762886855571,0.585322179691347,17.42359340581605,7.8337194230688665,0.3963354542031714,17.96629519751792,0.7349468029292929,coarse
52,9.934095721598043,0.5509933139094322,19.856900050346873,8.0,0.41352856467249755,18.21661804054582,0.7345678584113877,refine
53,9.517693635646634,0.6956347037920754,18.804526970506576,7.6295429006084365,0.3931946318551319,17.99510019492071,0.7343403520631882,coarse
54,9.747629152523814,0.531150885141856,16.00620878489123,7.9408342442147255,0.38404526546296447,18.089322623626842,0.7340495959890552,coarse
55,9.89169041917945,0.5421306001101643,20.0,7.936112098890362,0.41615936789451385,18.18620534292174,0.7334776661558358,refine
56,10.0,0.5450584540115042,20.0,7.778597266834307,0.40953175499979233,18.25565922587919,0.7333139985575767,refine
57,10.0,0.5575630161669809,20.0,7.83454659185948,0.4090560736465466,18.260627674324216,0.7332955721062471,refine
58,9.569925676558722,0.8430328148231347,19.328591348795975,7.980108953605329,0.38540469609210365,18.059875140707625,0.7318819200370162,coarse
59,9.925548405012007,0.6272736058930046,19.547226038008574,6.099102722896684,0.3679657005748579,18.238958677905117,0.7312550911230944,coarse
60,10.0,0.5580863175472591,20.0,7.807585937776835,0.4085136896025282,18.260832468216623,0.7310561351973521,refine
61,9.90646538083606,0.5508455249106105,20.0,7.918209558699073,0.41433944313193355,18.199087536635474,0.7309179984767376,refine
62,10.0,0.5494701262066908,19.557539082297065,8.0,0.40873733851154426,18.257428522171107,0.7306309120143553,refine
63,9.329277216870134,0.5113707317195865,18.624961914161382,7.053510863722301,0.4089636021067023,17.80217024723342,0.7304709906307021,coarse
64,9.98003766929524,0.6934114228038646,19.14160261247165,6.531654411938986,0.36226738339372344,18.292968178882667,0.7304051815022619,coarse
65,10.0,0.6016350292394449,20.0,8.0,0.40681362475189564,18.276998059158693,0.7303437152128305,refine
