ground_truth,prediction,model_uncertainty_std,measurement_variance
0.29985685889640235,0.20591978878395456,0.05834793148050452,0.00020049468754585175
0.2792116998696779,0.21091686183178227,0.05845434191039371,0.00010435387918444952
0.2806903111595664,0.22370255018854168,0.05852699178430722,9.689033867417494e-05
0.3389778543751162,0.29555703766819086,0.05881962408270169,0.00015756929111566563
0.6537625442605826,0.5008344238738323,0.05895458148411901,0.0023454212841291368
0.5548914917296388,0.5799577149790704,0.05920601502546898,0.0016447470135956886
0.34962258910934446,0.4388428277408254,0.059473782625943585,0.0001809067831721116
0.31762774869997884,0.3332828885890966,0.059137969591850824,9.71334415843851e-05
0.28945330197356567,0.2884539139454416,0.05926852391108234,7.699580520134035e-05
0.3312791574632748,0.36474389920957107,0.0601507374788726,8.946663412806579e-05
0.3554837962483876,0.3730190288769124,0.06075276813527895,0.00019069622410928795
0.3674181400622821,0.3665543449434465,0.06154436375734211,0.0002531754027997567
0.612873632133161,0.4931528484762877,0.060548134904790864,0.0018142551196652448
0.40324545085926217,0.37054127725868247,0.06130007009487002,0.0004404842087555912
0.4211250044924312,0.34420939270516615,0.05954056699203712,0.0006835298115109696
0.4458342278870983,0.47286138131262767,0.0622298623256557,0.0008212051540197714
0.16733382687506543,0.11125095306387123,0.06254648040849345,1.543055541541772e-05
0.16742663138733357,0.1058344227118162,0.06433435186216906,7.159267706484519e-06
0.19198644883772326,0.1427446266142255,0.06592554910479961,8.035284826407626e-06
0.1886168399484715,0.1660826769466116,0.06650193736200759,8.66321420595359e-06
0.2016105455639705,0.21703847870187154,0.0677060248870371,1.1051095677812484e-05
0.1613161126964037,0.15491176937064288,0.06739506127579419,6.184805831659008e-06
0.2875489888195943,0.26144678395972243,0.06873088645586194,5.259900488696088e-05
0.19182778714225227,0.23583362977524125,0.06703484373191886,1.0800086968365572e-05
0.5186520618326556,0.4406112220502516,0.06772522846074695,0.00046348702909561947
0.2812879392325226,0.34580260130832174,0.06779308839754293,4.9612158150363924e-05
0.35641324734201896,0.4058609659240267,0.06574573505340324,0.0001358852478298579
0.28296614424807826,0.4366743147249066,0.06385915827534712,6.0512463995873725e-05
0.2288889336347286,0.3213653748892469,0.06496605077695,2.4369352565285238e-05
0.26210332394396985,0.36275255598970424,0.06249261525584349,4.8052591170418065e-05
0.3123310013812524,0.38994737318564304,0.062299652327692905,9.527959225607859e-05
0.27126629915661044,0.363129404063656,0.06448496600755402,0.00014103880038855674
0.28253405437889684,0.2603969384939888,0.05531825024003759,1.4638028219310956e-05
0.2849013270602108,0.28119496664596966,0.05624582638669134,1.3598406533063727e-06
0.27703364943428394,0.2826241618266536,0.05616436198805212,7.315302557539827e-07
0.3070017019922032,0.3205458040512954,0.05740981565473089,1.6334215727336572e-06
1.2824867947014755,0.875510529356224,0.05796281948303968,0.00017049237540800487
0.3761653937061684,0.3449825919363383,0.058787504373964364,3.8273132042013954e-06
0.37286255271075325,0.38622494079202174,0.059454268277533,1.6268348352719614e-06
0.3826370609515782,0.3859339978462094,0.05965406962871392,1.0534698903464502e-06
0.38874139652545664,0.3590968398504728,0.05907960220668844,9.247353597877358e-07
0.4555351415781569,0.4320736191215364,0.05901743638389204,1.9441332010621703e-06
0.4525095034084544,0.43149867731208946,0.0618605307819472,1.7986729671776062e-06
0.4816375604160696,0.47536965132957676,0.06313185604364167,3.459450744012205e-06
0.4524519155654843,0.4442112726533338,0.06291039348462844,2.5741857246385952e-06
0.4435160549987722,0.4593664163835607,0.06115097158503572,1.670604111397837e-06
0.4778790142521369,0.44032086516351904,0.0584448399077224,2.934004929144184e-06
0.5514942270094046,0.5093993107879252,0.05833294804773654,7.059202373453247e-06
0.4128262390385822,0.40399819493380873,0.05964491438006363,6.264290731556606e-06
0.5000476979781153,0.4786726758435213,0.05958464348381473,2.1439176924417773e-05
0.4883969809635734,0.47607424971006,0.07122312110048704,0.00015798644134152885
0.4962249966679407,0.512808900918338,0.08828002874476201,3.69123175413662e-05
0.18779008615719192,0.204524266713211,0.0648196180814298,2.5914599028865747e-06
0.20225837405934935,0.24293769272439514,0.06297339555420872,3.2296656148079366e-06
0.21939525092916395,0.2222035459663947,0.06937487379317933,3.125655948979796e-06
0.26713584451373934,0.2917932074230847,0.06928700300711835,5.635509061912216e-06
0.42092742477558637,0.4638781504935725,0.06907767679238597,2.5125848360254155e-05
0.4538562189217548,0.5312034963775734,0.06754367549054335,2.5468068763333634e-05
0.5632901663072971,0.5006695219407593,0.06259401880558076,7.523486194283929e-05
0.32984586418295453,0.42501174763420035,0.06293199220902738,5.1834776455734935e-06
0.29366566256576687,0.3857603027116441,0.0635272779218679,2.95450440632708e-06
0.319294996392765,0.4088155961426785,0.06313589673327565,4.918693823303316e-06
0.3483018164306468,0.3985294774412227,0.06320501998843359,7.499707176844755e-06
0.35145911777833677,0.38288420153051117,0.06256802756589999,7.421548692313168e-06
0.43975539263707025,0.5092579692997483,0.06859527647335718,2.4023661903169763e-05
