filename,eta_cfd_vtol
LS_026_01.csv,0.14442579250777132
LS_027_01.csv,0.07601652733199563
LS_028_01.csv,0.193482630069146
LS_029_01.csv,0.13161090499884348
LS_030_01.csv,0.17058169716792074
LS_031_01.csv,0.1891100582577016
LS_032_01.csv,0.17689479905336902
LS_033_01.csv,0.23280289595561435
LS_034_01.csv,0.15994171350169142
LS_035_01.csv,0.18209952157214038
LS_036_01.csv,0.14954504724930373
LS_037_01.csv,0.11499231401639524
LS_038_01.csv,0.125748260757573
LS_039_01.csv,0.14946847703054592
LS_040_01.csv,0.11492813186995501
LS_041_01.csv,0.1342738454545697
LS_042_01.csv,0.15512941529939406
LS_043_01.csv,0.24166717703957175
LS_044_01.csv,0.168319013366701
LS_045_01.csv,0.17640430766355006
LS_046_01.csv,0.13596884710856233
LS_047_01.csv,0.18587443701408723
LS_048_01.csv,0.16037140595543387
LS_049_01.csv,0.1571801627328055
LS_050_01.csv,0.16708281684284798
