rank,AR,lambda,aoaRoot (deg),aoaTip (deg),pred_eta_hover,pred_LD_cruise,dual_mode_score,mode_hover,mode_cruise,w_hover
1,9.836384253484443,0.9735313209457144,10.001249065371937,6.677265660847964,0.27153957760458386,20.363962177774464,0.6677697131066922,priors_only,priors_only,0.5
2,9.69095638330067,0.9904515340635263,10.001978078267102,4.532560009015175,0.27668731470743707,20.238098957256593,0.666212020037431,priors_only,priors_only,0.5
3,9.476367482074116,0.9923469674306099,10.164517032045161,5.262812546042868,0.28500559450944646,20.04753357500433,0.6650804758929557,priors_only,priors_only,0.5
4,9.99497348026706,0.9459441009209083,10.301765529162829,7.88969888837458,0.26316012172622777,20.49736955850728,0.6625797792960408,priors_only,priors_only,0.5
5,9.243595009335841,0.9828947452207658,10.551872905947747,7.682997862674542,0.29365401234458693,19.834888507883207,0.6623349110610848,priors_only,priors_only,0.5
6,9.924019245415092,0.9809785928925212,11.21249756457551,6.489670374258205,0.26422510419026646,20.439389623407706,0.6588049700453881,priors_only,priors_only,0.5
7,9.456554707282129,0.9715103422812248,10.116472737371103,3.7612792750578494,0.2830148536518664,20.029009571917545,0.6584193162024246,priors_only,priors_only,0.5
8,9.51764693395074,0.9658572400246233,10.70406253968779,6.588719367708917,0.280395175366476,20.083588629821943,0.6581881135110035,priors_only,priors_only,0.5
9,9.107071762768875,0.9799712096721993,10.835641563568506,7.145095608872406,0.2971307413241492,19.707341053257455,0.6566845590636238,priors_only,priors_only,0.5
10,9.750261035091789,0.9760962681979501,11.345587168992381,6.740573081846893,0.2701557396815264,20.28948273581986,0.6564805466144296,priors_only,priors_only,0.5
11,9.39862880978428,0.9641158980511653,10.565364996863313,5.684346580466913,0.2845482654401076,19.97615286807974,0.656294536311232,priors_only,priors_only,0.5
12,9.816433116280031,0.9626960977895881,11.103912337373568,6.256156625517864,0.267039063106311,20.346132812527266,0.6553100947439423,priors_only,priors_only,0.5
13,9.278111887537369,0.9497650850892507,10.695354675094942,7.435830397564379,0.28892414072024225,19.864764233341923,0.6544950631964994,priors_only,priors_only,0.5
14,9.174690497025708,0.9540207810227539,10.042127219141461,4.627907017804022,0.2932964943738516,19.76918976602095,0.6543967298725852,priors_only,priors_only,0.5
15,8.933865771199343,0.9478972484231408,10.157875965287166,7.3644913942672385,0.30377420693157614,19.5404127831082,0.6541884778847104,priors_only,priors_only,0.5
16,9.611956613624546,0.9881221451703346,11.682827159944232,6.256390557069736,0.27476221827688385,20.16846010788072,0.6541793917190613,priors_only,priors_only,0.5
17,9.808802901635648,0.9915194357489407,11.452962864480936,4.148959906244953,0.26666817379161323,20.340717158940954,0.6538567267151716,priors_only,priors_only,0.5
18,9.499588801890358,0.9619021800320832,11.136580849847007,6.656932927750081,0.279233929628155,20.067147650823998,0.6536933525854525,priors_only,priors_only,0.5
19,8.621227400029163,0.9805102042922101,10.097326724686162,6.115771412548495,0.3175130381806072,19.235751308316306,0.6534096290770111,priors_only,priors_only,0.5
20,9.03857220922558,0.9767505074140853,10.581775671729927,5.034408122278576,0.2986768345902425,19.642451411264688,0.6532887956521637,priors_only,priors_only,0.5
21,9.263604861852377,0.9779921346701008,11.458605456358823,7.338820694559366,0.2888952031950155,19.853216123778903,0.6531790860295156,priors_only,priors_only,0.5
22,9.22733778876182,0.992522937842609,11.556513846260618,6.402646740760131,0.290330163722353,19.82003742125354,0.6529509337729769,priors_only,priors_only,0.5
23,9.511963523970817,0.9662070318226663,10.750761955206276,4.04120088489349,0.27838470223567735,20.078520006424537,0.6529351908115782,priors_only,priors_only,0.5
24,8.844651192776631,0.9732774440091274,10.525279887947757,6.399392036264727,0.3070939822358326,19.455914902619714,0.6528241168505049,priors_only,priors_only,0.5
25,9.409529271721066,0.9598887076811369,10.505043651908506,3.705153658669273,0.28239202020228726,19.985758560289415,0.6522866405351094,priors_only,priors_only,0.5
