rank,filename,AR,lambda,aoaRoot (deg),aoaTip (deg),pred_eta_mean,pred_LD,exploit_score,explore_score,composite_score
1,Prop_020_PLA_01.csv,11.509837412259476,0.5810481697433331,14.47834040807292,7.522560332917007,0.2996046638362361,19.12847120710024,0.6572561944469345,0.9210673681135604,0.7627806639135849
2,Prop_020_PCF_01.csv,11.509837412259476,0.5810481697433331,14.47834040807292,7.522560332917007,0.2996046638362361,19.12847120710024,0.6572561944469345,0.9210673681135604,0.7627806639135849
3,Prop_008_PCF_01.csv,10.781371814492076,0.8983681738617189,8.11206430990555,7.85999506921007,0.2308467460327095,18.804934820682593,0.5407190245250664,1.0,0.7244314147150399
4,Prop_008_PLA_01.csv,10.781371814492076,0.8983681738617189,8.11206430990555,7.85999506921007,0.2308467460327095,18.804934820682593,0.5407190245250664,1.0,0.7244314147150399
5,Prop_022_PCF_01.csv,10.267795725532755,0.6076883399079863,14.826805530627926,5.4664745777583965,0.3029684507785445,18.44359756560122,0.6115718321874549,0.7316438449734339,0.6596006373018466
6,Prop_022_PLA_01.csv,10.267795725532755,0.6076883399079863,14.826805530627926,5.4664745777583965,0.3029684507785445,18.44359756560122,0.6115718321874549,0.7316438449734339,0.6596006373018466
7,Prop_015_PCF_01.csv,8.895462740330562,0.4126304559728638,10.818604196805754,6.398362701731258,0.3483341325878433,17.446705713713627,0.5997007534107548,0.7334201516971444,0.6531885127253105
8,Prop_015_PLA_01.csv,8.895462740330562,0.4126304559728638,10.818604196805754,6.398362701731258,0.3483341325878433,17.446705713713627,0.5997007534107548,0.7334201516971444,0.6531885127253105
9,Prop_009_PCF_01.csv,11.105154828760329,0.762165053206844,9.495114453055107,4.994515947178409,0.1986137818478825,18.964281055256475,0.5088959123728785,0.8521889454714037,0.6462131256122885
10,Prop_009_PLA_01.csv,11.105154828760329,0.762165053206844,9.495114453055107,4.994515947178409,0.1986137818478825,18.964281055256475,0.5088959123728785,0.8521889454714037,0.6462131256122885
11,Prop_007_PLA_01.csv,11.8672196241552,0.6858783555263421,11.994968073870382,3.004787765351695,0.171536388232069,19.341370761074366,0.5,0.8344886837763277,0.6337954735105311
12,Prop_007_PCF_01.csv,11.8672196241552,0.6858783555263421,11.994968073870382,3.004787765351695,0.171536388232069,19.341370761074366,0.5,0.8344886837763277,0.6337954735105311
13,Prop_017_PLA_01.csv,8.405993513548882,0.9532108134818574,17.508864326872363,7.198034604451651,0.37844611666039285,17.235712393713403,0.6248734115544707,0.6404042999645257,0.6310857669184928
14,Prop_017_PCF_01.csv,8.405993513548882,0.9532108134818574,17.508864326872363,7.198034604451651,0.37844611666039285,17.235712393713403,0.6248734115544707,0.6404042999645257,0.6310857669184928
