k_id,esc_signal,n_reps,T_method,T_loc,T_std_raw,T_skew,T_kurt,T_var_boot,T_se_boot,Q_method,Q_loc,Q_std_raw,Q_skew,Q_kurt,Q_var_boot,Q_se_boot,RPM_method,RPM_loc,RPM_std_raw,RPM_skew,RPM_kurt,RPM_var_boot,RPM_se_boot,VIB_method,VIB_loc,VIB_std_raw,VIB_skew,VIB_kurt,VIB_var_boot,VIB_se_boot,N_method,N_skew,N_kurt,D_method,D_skew,D_kurt,eta_point,eta_var_boot,eta_se_boot,v,neg_T_frac
LS_049_01,1261.3157894736842,1000,mean,0.5795974359411604,0.08789741145347571,0.0399265015004968,-1.0793147101689153,8.011920221306109e-06,0.002830533557707117,mean,0.019157113350495178,0.009386640433147849,0.07261100140951557,0.26260689910129775,8.654512763835208e-08,0.0002941855326802324,median,1123.0,8.30796884601443,-20.06782253800482,426.85225955456053,0.0,0.0,trim10,0.1783056640625,0.003253565064771113,0.6239338482566509,0.06681400372927504,1.1245951375684405e-08,0.00010604693006251716,mean,0.1445030868063963,-1.0604479629972277,mean,0.07607308217696228,0.2703780432146021,0.312443161443971,2.827392374042406e-05,0.005317322986280226,27.048065549856922,0.0
LS_049_01,1272.1052631578948,1000,mean,0.6765743540867476,0.10877985575918783,0.0007104514135161823,-0.9551162230104717,1.1818610027925146e-05,0.003437820534572034,trim10,0.01753340402985333,0.010468777457495297,0.04891188934604905,0.5169073114847573,1.082559257208379e-07,0.0003290226826843978,trim10,1193.125,1.5926193633245942,0.6024585484357803,1.1533000457152474,0.0024650761699199887,0.0496495334310403,trim10,0.2162255859375,0.005629001874447388,0.5687169477149187,-0.06610420448382559,3.515999452607161e-08,0.00018750998513698307,mean,0.12703243933558866,-0.9501090197858386,trim10,0.050554162485850436,0.5156698427269677,0.40546242457339376,6.749642409656687e-05,0.00821562073714256,28.737064300243134,0.0
LS_049_01,1282.8947368421052,1000,mean,0.7747662509665914,0.14376793323790224,0.02276584749557516,-0.8332312874042795,2.1292543565201258e-05,0.004614384418879864,mean,0.021003220882231464,0.011254458268153269,-0.03607951513081834,0.10986678304699238,1.2149441102360045e-07,0.00034856048402479657,median,1270.0,4.907105020241534,-24.935427886382538,720.3809245260618,0.0,0.0,trim10,0.3381640625,0.007785417968335542,0.33833307191088585,0.4090439930287566,5.783153940010835e-08,0.00024048188996285842,mean,0.18536734825021486,-0.8087808040633684,mean,-0.03480251768669928,0.11171184541015533,0.3909490421597062,5.644653020314518e-05,0.007513090589307783,30.588640470452617,0.0
LS_049_01,1293.6842105263158,1000,mean,0.8495969793752401,0.19307917740766015,0.018225286183471787,-0.8642298928432535,3.7710686850443264e-05,0.006140902771616178,mean,0.022099713617813797,0.013387796741493943,-0.10773981913226892,-0.05679741520404846,1.7901210556560066e-07,0.00042309822212531294,median,1345.0,11.983938366779881,-14.918488475112143,237.86250975509626,0.0,0.0,median,0.271484375,0.01446005647457493,-1.810469758617965,6.692292892261749,1.085374925706957e-07,0.0003294502884665541,mean,0.21251306145046348,-0.8355173257573485,mean,-0.10504865399528546,-0.05354185201733186,0.40561807399050004,8.953106025135605e-05,0.009462085407105351,32.39505624626675,0.0
LS_049_01,1304.4736842105262,1000,mean,0.9489342090076622,0.25946107557310166,0.029568970408010077,-0.9257711317706256,6.913607799758725e-05,0.008314810761381599,mean,0.020191554538378363,0.0174538928774022,0.02198203472046302,-0.4274068461060603,3.0292822594330453e-07,0.0005503891586353283,trim10,1414.16625,1.6648611842321157,0.47103932523726527,0.18774841518451613,0.0031909691941939744,0.05648866429819326,mean,0.566505859375,0.012180250355678183,0.18663586738909657,-0.9937899939992203,1.4353262067915297e-07,0.0003788569923851914,mean,0.2507723507440054,-0.8816404227241721,mean,0.021119066328119666,-0.427940406899598,0.5025450075250327,0.00024489738002873965,0.015649197424428503,34.06096298165214,0.0
LS_049_01,1315.2631578947369,1000,mean,1.0431362512164835,0.3362512040263994,0.006817048299337386,-1.095682680885747,0.00011637667027800156,0.01078780192059539,mean,0.02915765277729914,0.02205675044331278,0.018995664241502622,-0.7256091168890801,5.18142270555927e-07,0.0007198209989684428,trim10,1481.39375,2.041605288039819,0.5245000092296037,0.8266741758445426,0.0036627090778276754,0.060520319544989806,mean,0.70099609375,0.010100251767380624,0.2728163252496856,-0.7549857590906046,9.626551166645219e-08,0.0003102668394567041,mean,0.22809408267929576,-1.0592210103861417,mean,0.01943190654801118,-0.7249210073530463,0.38697133341073897,0.0001182915285166348,0.010876190901075377,35.680173869232725,0.0
LS_049_01,1326.0526315789473,1000,mean,1.1589184207285674,0.4965173214755969,0.002363149632223647,-1.2005433094093279,0.0002497897568309721,0.015804738429691653,mean,0.03133962709983161,0.028806657567224458,-0.025454130716672307,-0.8178560646985802,8.264021423107565e-07,0.0009090666324922263,median,1547.0,11.169438094521468,-20.21373944067926,430.3323693977454,0.2201639139139139,0.46921627626704715,mean,0.631615234375,0.005233650330044381,-0.0197611814105996,-0.63423720925966,2.5995730528960257e-08,0.00016123191535474685,mean,0.26523069673463856,-1.1612257320699326,mean,-0.023896063496485005,-0.8155736309740256,0.4159989548931074,0.00022778806611055527,0.015092649406600395,37.26033606912614,0.0
LS_049_01,1336.842105263158,1000,mean,1.337451661961395,0.714076169355428,-0.02910289173392101,-1.2058825590109004,0.0005441332828202977,0.023326664631281895,mean,0.03199744615800882,0.03210599722357396,-0.016601982791407812,-0.5913584713060995,1.0325257456618804e-06,0.001016132740178113,mean,1609.303,1.8922927288799092,0.10561905340612673,-0.1723872978197627,0.003622366382382459,0.060186097916233604,trim10,0.858857421875,0.0038469078380582666,0.3442875133173429,-0.20286230966777907,1.8165514818779474e-08,0.0001347795044462602,mean,0.3038139197675233,-1.182602242789563,mean,-0.014537711253230707,-0.5895745207739509,0.5038814020573903,0.00041608710006865485,0.020398213158721888,38.76093769686678,0.0
LS_049_01,1347.6315789473683,1000,mean,1.3875323877591312,1.081700087408664,-0.01137403096952146,-1.2027479329483546,0.001143509696587437,0.03381582021166184,mean,0.04112535178006053,0.03688463214551677,0.029050914153063493,-0.3478292923722397,1.4193573363532434e-06,0.0011913678425881922,median,1679.0,12.238502029739259,-19.619034226398565,413.40145659116746,0.14331306306306307,0.3785671183067318,trim10,1.31373291015625,0.0225364704806262,0.6835172688769509,-0.24238361014486154,6.645142368845563e-07,0.0008151774266284342,mean,0.4990697721780344,-1.0536001445265435,mean,0.02866396685454898,-0.34903382284124707,0.4481346422163124,0.0003241259266880231,0.018003497623740313,40.43962783455901,0.131
LS_050_01,1175.0,1000,mean,0.08550750329045778,0.011929563480713532,-0.1884318695491926,0.30945254882741136,1.3944004437431335e-07,0.00037341671678476496,median,0.0030234486984838604,0.0009879028172105956,2.2494095228718596,9.63747249131316,1.676297977301586e-09,4.094261810511861e-05,trim10,476.75125,1.4300353145992588,0.6593410559594985,0.2642491200145214,0.002628095038788818,0.051264949417597384,mean,0.078177734375,0.002371052519031789,0.10972861538257479,-0.1911812386288818,5.8860433576582006e-09,7.672055368451273e-05,mean,0.05304088690786826,0.2837604505182143,median,2.255264799165687,9.645788109785174,0.2631962096231418,1.4624513804491318e-05,0.0038242010674768815,11.48281305518809,0.0
