rpm_bin,thrust_tare,torque_tare
400.0,-0.0033957214182165,0.0002801548316036
500.0,0.0014342504220068305,8.765268280481167e-05
550.0,0.00150443353971615,2.3227082724849987e-05
650.0,0.0019889887745359264,0.00011661661542948516
700.0,0.0010190746239267915,0.0004938001256342
750.0,-0.0001719352616818,-0.0002612985188867
850.0,0.0012465306471934,-0.0009246521124606
900.0,0.001910673115400839,0.00017426836942627898
950.0,0.0009022123757524248,0.001847307629348425
1000.0,0.0093059960385301,0.0002343653327978
1050.0,0.0058457988971829,-0.0003924553717339
1150.0,0.0017453044993618267,0.0002741861560482794
1200.0,0.002658675406742127,0.0018458712181687118
1250.0,0.0018682404475893082,0.00042772483597460127
1300.0,0.0008435573776265833,0.002458731416094958
1450.0,0.0019940745552993575,0.0005201585265657775
1500.0,0.00687079757259393,0.004451526713204262
1550.0,0.0011498170624973,-0.0012164091627464
1600.0,0.0037146463487975055,0.0007572682488993635
1650.0,-0.006022510138355922,0.0030784343513092
1700.0,0.0025250951188536624,0.0008127199010018419
1750.0,0.007901346356040057,0.004101006198654943
1850.0,-0.00033341112827804664,0.0005830809275886513
1900.0,0.0036079175386858836,0.0010890697934403755
1950.0,-2.14919077102e-05,-0.0023109244430018
2000.0,0.027789036669329047,0.0019947218324213
2050.0,0.0013668218521622828,0.0010581932048665513
2100.0,0.013728123955439238,0.0029432775169518422
2150.0,0.009829693383438065,0.0010081669045252672
2200.0,0.00027841789533708636,0.0015468188315607202
2250.0,0.005394468835268,0.0042688359192274
2300.0,-0.0244685369280983,0.0006788693080934
2350.0,-0.013969740011650349,0.00355340652485955
2400.0,-0.050828361734697,0.0039156314812066
2500.0,0.0040307360033993165,0.001978151863556607
2550.0,-0.031131028318270002,0.0032244770147729
2600.0,0.0192782412160774,0.0045903209770935
2700.0,0.0212734066485106,0.0024014642006650665
2750.0,-0.0007711501171266238,0.0023535099906399
2800.0,0.003913439442632834,0.002513089718896097
2850.0,-0.007027853821245652,0.0023548267129374504
2900.0,-0.0005802815081762513,0.00208578432004075
2950.0,0.001982908328817147,0.0027842205601395667
3000.0,0.0034043315303116375,0.002861074839222779
3050.0,0.0026200508237618023,0.003041214542946487
3100.0,0.0222906902801282,0.003321163746991733
3200.0,-0.00024501962187879864,0.003227873244624352
3250.0,-0.007989019693842067,0.004837997521425489
3300.0,-0.0226524707265838,0.0048459462631802504
3350.0,-0.05298614926880424,0.00268989777333302
3400.0,-0.05598206955946997,0.003945134810295284
3500.0,-0.0338927384590347,0.003961719165768
3650.0,-0.02347583993354871,0.004379916819161629
3700.0,-0.022071666618827937,0.004742849217013354
3750.0,-0.00029551373101565064,0.00322750515044055
3800.0,-0.0058887827126033,0.0046771576315649
3900.0,0.005046714232197661,0.005067668164716317
3950.0,0.005325890111574476,0.006404479552344073
4000.0,0.005105863217444899,0.004978847995707086
4050.0,0.011254595670924433,0.005371138945362966
4100.0,0.010764338499060508,0.005723293364569957
4150.0,0.008997945361350132,0.005425994632912767
4200.0,0.0054911824199641,0.004686377166597267
4250.0,0.0091770445922687,0.0045176954263256
4300.0,0.0037969036954741335,0.005207584200702133
4350.0,0.012398066391108808,0.0065251918946578075
4400.0,0.01263509254284496,0.00640938676614166
4450.0,0.0095531529771978,0.0059852110396084995
4500.0,0.0102946237932008,0.0060552472099149
4750.0,0.00973583419273475,0.00507580985395875
