Flight Mode,Model,R2,MAE,RMSE,Spearman
Hover,XGBoost,0.8545,0.0230,0.0299,0.9236
Hover,GPR,0.8173,0.0265,0.0335,0.9010
Cruise,XGBoost,-1.4496,10.7214,14.9416,-0.1485
Cruise,GPR,-2.7076,15.4922,18.3821,-0.3936
