filename,LD_ll
Prop_001_PCF_01.csv,13.84589106899666
Prop_001_PLA_01.csv,13.84589106899666
Prop_001_PLA_02.csv,13.84589106899666
Prop_001_T2K_01.csv,13.84589106899666
Prop_002_PCF_01.csv,15.653904206438835
Prop_002_PLA_01.csv,15.653904206438835
Prop_003_PCF_01.csv,14.667234735045891
Prop_003_PLA_01.csv,14.667234735045891
Prop_003_PLA_02.csv,14.667234735045891
Prop_004_PCF_01.csv,15.048188215906494
Prop_004_PLA_01.csv,15.048188215906494
Prop_004_PLA_02.csv,15.048188215906494
Prop_005_PCF_01.csv,18.50948727747517
Prop_005_PLA_01.csv,18.50948727747517
Prop_006_PCF_01.csv,15.566064227190871
Prop_006_PLA_01.csv,15.566064227190871
Prop_007_PCF_01.csv,19.341370761074366
Prop_007_PLA_01.csv,19.341370761074366
Prop_008_PCF_01.csv,18.804934820682593
Prop_008_PLA_01.csv,18.804934820682593
Prop_009_PCF_01.csv,18.964281055256475
Prop_009_PLA_01.csv,18.964281055256475
Prop_010_PCF_01.csv,15.410929155743915
Prop_010_PLA_01.csv,15.410929155743915
Prop_010_PLA_02.csv,15.410929155743915
Prop_011_PCF_01.csv,15.46945228029008
Prop_011_PLA_01.csv,15.46945228029008
Prop_011_PLA_02.csv,15.46945228029008
Prop_012_PCF_01.csv,15.471224742861077
Prop_012_PLA_01.csv,15.471224742861077
Prop_013_PCF_01.csv,15.316895139465284
Prop_013_PLA_01.csv,15.316895139465284
Prop_013_PLA_02.csv,15.316895139465284
Prop_014_PCF_01.csv,15.240879703534034
Prop_014_PLA_01.csv,15.240879703534034
Prop_014_PLA_02.csv,15.240879703534034
Prop_014_T2K_01.csv,15.240879703534034
Prop_015_PCF_01.csv,15.643185128172894
Prop_015_PLA_01.csv,15.643185128172894
Prop_016_PCF_01.csv,15.102409393013343
Prop_016_PLA_01.csv,15.102409393013343
Prop_016_PLA_02.csv,15.102409393013343
Prop_017_PCF_01.csv,15.476821013807127
Prop_017_PLA_01.csv,15.476821013807127
Prop_018_PCF_01.csv,15.332783170860242
Prop_018_PLA_01.csv,15.332783170860242
Prop_018_PLA_02.csv,15.332783170860242
Prop_019_PCF_01.csv,15.330007472478904
Prop_019_PLA_01.csv,15.330007472478904
Prop_019_PLA_02.csv,15.330007472478904
Prop_020_PCF_01.csv,19.12847120710024
Prop_020_PLA_01.csv,19.12847120710024
Prop_021_PCF_01.csv,15.588384359006112
Prop_021_PLA_01.csv,15.588384359006112
Prop_022_PCF_01.csv,18.44359756560122
Prop_022_PLA_01.csv,18.44359756560122
Prop_023_PCF_01.csv,15.609239301982402
Prop_023_PLA_01.csv,15.609239301982402
Prop_024_PCF_01.csv,14.139394983834963
Prop_024_PLA_01.csv,14.139394983834963
Prop_024_PLA_02.csv,14.139394983834963
Prop_025_PCF_01.csv,15.287420293086187
Prop_025_PLA_01.csv,15.287420293086187
Prop_025_PLA_02.csv,15.287420293086187
