k_id,v,alpha,measured_performance,measurement_variance,meas_95_conf_lower,meas_95_conf_upper
LS_028_01,11.416878879370874,17.3303,0.28253405437889684,1.4638028219310956e-05,0.27503515784625254,0.29003295091154113
LS_028_01,13.519095238474568,17.3303,0.2849013270602108,1.3598406533063727e-06,0.2826157278272433,0.2871869262931783
LS_028_01,15.585835598869915,17.3303,0.27703364943428394,7.315302557539827e-07,0.27535727041076197,0.2787100284578059
LS_028_01,17.504801113160465,17.3303,0.3070017019922032,1.6334215727336572e-06,0.30449671650046606,0.3095066874839404
LS_028_01,19.41294820408253,17.3303,1.2824867947014755,0.00017049237540800487,1.2568945398307654,1.3080790495721857
LS_028_01,21.253525309345942,17.3303,0.3761653937061684,3.8273132042013954e-06,0.3723309437579672,0.3799998436543696
LS_028_01,23.218464105130966,17.3303,0.37286255271075325,1.6268348352719614e-06,0.3703626229711044,0.3753624824504021
LS_028_01,25.073050968300137,17.3303,0.3826370609515782,1.0534698903464502e-06,0.3806253427976722,0.3846487791054842
LS_028_01,26.56635467630649,17.3303,0.38874139652545664,9.247353597877358e-07,0.3868565985632971,0.39062619448761615
LS_028_01,28.204171646377965,17.3303,0.4555351415781569,1.9441332010621703e-06,0.45280227090701264,0.45826801224930114
LS_028_01,29.986501878514574,17.3303,0.4525095034084544,1.7986729671776062e-06,0.4498808569752669,0.4551381498416419
LS_028_01,31.81700319800623,17.3303,0.4816375604160696,3.459450744012205e-06,0.4779920390571694,0.48528308177496976
LS_028_01,33.40664908072266,17.3303,0.4524519155654843,2.5741857246385952e-06,0.44930723881265716,0.45559659231831146
LS_028_01,35.12988944570375,17.3303,0.4435160549987722,1.670604111397837e-06,0.440982718709539,0.44604939128800547
LS_028_01,36.72075967689046,17.3303,0.4778790142521369,2.934004929144184e-06,0.4745217425419829,0.4812362859622909
LS_028_01,38.3200999909371,17.3303,0.5514942270094046,7.059202373453247e-06,0.5462866717444211,0.5567017822743882
LS_028_01,39.9820025046861,17.3303,0.4128262390385822,6.264290731556606e-06,0.40792064027040437,0.41773183780676
LS_028_01,41.595733931080055,17.3303,0.5000476979781153,2.1439176924417773e-05,0.4909724160501065,0.5091229799061241
LS_028_01,43.20946535747401,17.3303,0.4883969809635734,0.00015798644134152885,0.4637612201054709,0.513032741821676
LS_028_01,45.088378619757485,17.3303,0.4962249966679407,3.69123175413662e-05,0.48431691709703956,0.5081330762388417
