mode,model,a,b,r2,mae,n,m_y_on_x,c_y_on_x,alpha,beta
hover,bemt,0.1500042732003763,0.3107010014978229,0.0454665934991688,0.057518110471834,15.0,,,,
hover,cfd,1.642851797484402,0.0807363107576518,0.3890799008393923,0.0438982665244812,15.0,,,,
hover,ml,,,,,,0.7075630316293186,0.1224330517633414,1.413301649885921,-0.1730348340576988
