AR,lambda,twist,alpha,v,std_before,std_after,std_abs_reduction,std_rel_reduction_percent
20.010441354076917,0.5230114614552548,-14.908450314985577,17.495686474584293,38.56910832730888,0.06009213680602867,0.061364939051142056,-0.0012728022451133844,-2.1180845161520234
26.506560702367622,0.5270396274285403,-9.789563825559405,18.456581521197407,17.678851915942353,0.05820348032195646,0.06111766472605783,-0.0029141844041013637,-5.006890289002232
25.118880264075624,0.9937019204003712,-9.521324662610983,17.851482112340683,14.247748541719696,0.10431038201155483,0.10486046544846918,-0.0005500834369143448,-0.5273525283930128
25.603433939323047,0.5281047846017262,-5.657769340355085,15.210591603372643,38.52421780924189,0.05634750274738911,0.05932548523710437,-0.0029779824897152585,-5.285030115825754
24.645812143071005,0.6682227492397952,-3.2275575642277072,12.953048329226398,31.128095782094984,0.06453623922623998,0.06702277825005183,-0.002486539023811851,-3.8529344963764824
20.014840924626306,0.9945774084073618,-10.579941324601663,18.479827988504205,37.01313854452587,0.061855830477594145,0.06294385834231644,-0.001088027864722299,-1.7589738207725012
22.785654850528136,0.8046999881447345,-11.265680348155165,17.01448384538853,45.28852597802707,0.061305740033293955,0.06451209831262382,-0.0032063582793298642,-5.230111042764598
24.4003976991028,0.609383672501576,-4.281472825897197,16.81422095267385,36.00905354824481,0.06162829516642594,0.0634052874511834,-0.0017769922847574587,-2.8834032808448256
23.380822546604108,0.815819110590899,-8.446684048671681,13.309754383697292,45.568119006139774,0.06560560870877313,0.06863542732856466,-0.0030298186197915272,-4.61823109246811
30.068725450658103,0.8358365068050627,-13.965640590338474,14.1814346739898,38.2964624184327,0.06175754096959261,0.061449971875951755,0.0003075690936408526,0.49802678152663105
26.31271466927847,0.8263037538158621,-13.585412532887961,13.415632009973933,20.232752237455536,0.058039040091605675,0.06096982260302593,-0.002930782511420253,-5.04967433436953
22.56979231360851,0.6647723380413497,-9.397749004277346,16.837194751907738,18.04079182566085,0.06671742683169189,0.0665493249840727,0.000168101847619187,0.2519609277546895
27.738105055385013,0.940561707479127,-8.12732523212702,15.470383484331077,40.28392641264437,0.05769218212551737,0.06009548995305323,-0.0024033078275358596,-4.16574263443031
20.908879409190472,0.6518593210703766,-8.46544108920634,11.601920414583134,38.05025995630671,0.08231164063438874,0.0832614826359268,-0.0009498420015380538,-1.153958290974973
27.042137282944264,0.6637225429403247,-8.061303699655237,17.263330157826182,45.358677903359315,0.06364373660667844,0.06661054360993227,-0.0029668070032538296,-4.661585195081881
22.813339360777036,0.7149988238351157,-4.830636829445664,15.973500294371128,14.32929295968926,0.11445573239756573,0.11760752381192842,-0.003151791414362684,-2.7537208913353797
20.827855557916525,0.8657566784566233,-13.469337076786603,17.351657563573788,38.780957648928066,0.0599447922535708,0.061526499491764045,-0.0015817072381932445,-2.638606589046983
29.77467952998806,0.8200912059664771,-12.302531110420983,15.351580299970879,21.202986988773237,0.06243591568499795,0.06237040942034364,6.550626465431225e-05,0.10491760060796552
30.127723000720486,0.6120535451554613,-14.472212848688669,10.297504471687137,39.98500004899209,0.06917367644522174,0.06921815103469135,-4.447458946961469e-05,-0.06429409531938624
29.432278178348955,0.8005565533702035,-10.142039607207094,11.686171671600283,35.964078241386474,0.06276337416280799,0.06550749885256892,-0.0027441246897609295,-4.372175215823609
23.288928813787646,0.518657551285265,-5.182470317213808,17.239348210127933,43.700673920734786,0.07134737534690527,0.07358260876438105,-0.0022352334174757793,-3.1328880797753604
21.47542215566948,0.5440164427505307,-8.920331623006797,12.568599775859113,44.31905212715784,0.15048936235424606,0.153745884291689,-0.003256521937442941,-2.1639549045182447
30.039358561749523,0.6735512530171188,-8.389778857848734,13.08298567723308,37.34457560259423,0.0578586953288473,0.05911395898643605,-0.0012552636575887538,-2.1695332921945476
21.827596873572883,0.9833872578674483,-6.322066539711097,11.774392188610008,23.5041311871447,0.05929027972944911,0.061888071625122665,-0.0025977918956735582,-4.381480248579855
25.667789348021827,0.729618662264601,-7.582811260596891,15.420587483223015,16.05963403304794,0.06064002499438612,0.063029459622051,-0.002389434627664881,-3.9403589096246057
25.456500399607155,0.5088734228563897,-8.503460112636892,18.044346260810606,41.08721061356897,0.06313321462635199,0.06409002217086246,-0.0009568075445104685,-1.5155375029978184
20.72053082331313,0.8826528989734095,-6.21931902899663,12.127897061988737,39.37393798843064,0.07524065726934658,0.07460604681366197,0.0006346104556846088,0.8434408718850366
25.28707214129664,0.5925139916184714,-6.4093604447510835,11.183943017162926,24.20338123522758,0.06231558210981573,0.06534944307319056,-0.0030338609633748306,-4.868543084502371
24.267350069002717,0.5386365318508582,-6.607296561256053,18.19964281894977,41.3374070583053,0.06332312485253555,0.06613367786479703,-0.002810553012261477,-4.438430697800502
24.033645072743166,0.888318136637069,-14.180630836287765,10.235150531955217,20.799380727808362,0.09809153328633874,0.0996549068382741,-0.0015633735519353653,-1.593790513368494
28.044750909823456,0.9385062790905438,-10.240882736410121,18.421149622627564,22.30040321352878,0.06453237639295124,0.061991811230196016,0.0025405651627552275,3.936884560526937
21.240249734624626,0.7654384544145915,-8.804127209369533,12.391314949845658,40.60380839887392,0.05960414829714695,0.06119942843359365,-0.0015952801364466987,-2.6764582365873
21.006787723638507,0.5257353379091732,-9.4543563425947,12.403958488981207,36.10654221588235,0.06831049149118627,0.06693637746083733,0.0013741140303489413,2.011570990564803
24.836080393022943,0.9935070127086439,-7.345289230234893,10.711294062137052,42.017106220998535,0.06506817279621546,0.06819531269638596,-0.0031271399001704947,-4.805943928937832
