Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.01953125,-1.03125,-0.00008705910952318855,-0.0004346355463032819,22.20800018310547,0.072265625,0,0,1.6048750132322311,0,0,0,0,0.05859375,,
0,1175,,,,-0.048828125,-0.015625,-1.0546875,0.001378795146016514,0.04925162800304995,22.20850372314453,0.126953125,490,0,2.819438949227333,0.07070370950061991,2.5077226630495493,0.6965918528308352,0.017468591762395617,0.0703125,,
0.015999999998137355,1175,,,,-0.041015625,-0.033203125,-1.017578125,0.002977430131841003,0.05749910251582929,22.20800018310547,0.09521484375,490,0,2.1145312674343586,0.15267466770703336,7.2202605872212695,0.3766119381780088,0.027192363339036903,0.0703125,,
0.030999999998137354,1175,,,,-0.0625,-0.03515625,-1.0234375,0.0036587344900372897,0.05548493778905799,22.204801559448242,0.123046875,490,0,2.732231441885233,0.1876297566797606,6.86727170339188,0.29571502287751505,0.020307554088746422,0.0703125,,
0.046994999999180435,1175,,,,-0.041015625,-0.025390625,-1.05078125,0.002207879718966713,0.05094776672033105,22.207202911376953,0.125,490,0,2.775900363922119,0.11322871537134942,4.078990616628852,0.44995447094176344,0.01835360064881653,0.0703125,,
0.063,1175,,,,-0.0625,-0.037109375,-1.009765625,0.0021436992384972664,0.05347077306228668,22.2080020904541,0.125,489,0,2.7760002613067627,0.1098709192722183,3.957885768371582,0.4866690241282724,0.019261804045045756,0.0703125,,
0.07899999999813735,1175,,,,-0.0625,-0.029296875,-1.009765625,0.0009816963785358895,0.0476402962216329,22.20600128173828,0.12451171875,489,0,2.7649073861539364,0.050288485193119514,1.8188126461288892,0.9473400528706134,0.01723034068345482,0.0703125,,
0.09699999999813735,1175,,,,-0.01953125,-0.05859375,-1.05078125,0.002449369342125728,0.0476402962216329,22.206666946411133,0.1204427108168602,489,0,2.674631165232924,0.12545747552331393,4.690645841344942,0.3797326227306386,0.017811912476344782,0.0703125,,
0.11299999999813735,1175,,,,-0.078125,0.00390625,-1.009765625,0.0014821548085445062,0.03884157662573719,22.20800018310547,0.123046875,490,0,2.7326250225305557,0.0760822130905464,2.7842170975983462,0.5105211198248314,0.014214016305013495,0.0703125,,
0.12999999999813736,1175,,,,0,-0.0703125,-1.02734375,0.001984648086331129,0.0476402962216329,22.20800018310547,0.125,491,0,2.7760000228881836,0.1020305917208911,3.6754535619469215,0.46692168905532666,0.017161489851886733,0.072265625,,
0.14499499999918045,1175,,,,-0.0625,-0.03125,-1.0234375,0.0032107006653262827,0.052007853418631726,22.20600128173828,0.1318359375,491,0,2.927548997104168,0.16505338333714756,5.637937520445012,0.3150971665476101,0.017764981378646825,0.072265625,,
0.15999999999813735,1175,,,,-0.0625,-0.01171875,-1,0.0024822573429006613,0.05128699446378727,22.20600128173828,0.12939453125,490,0,2.873335126787424,0.12742425966683546,4.434716245901469,0.4024900328860664,0.01784929087653255,0.072265625,,
0.18699999999813735,1175,,,,-0.015625,-0.03125,-1.056640625,0.001959350211174515,0.04914561933321987,22.204801559448242,0.123046875,490,0,2.732231441885233,0.10054634138623847,3.6800082103169762,0.48878575446551564,0.01798735589519075,0.072265625,,
0.20399999999813737,1175,,,,-0.037109375,-0.025390625,-1.015625,0.0016325026808501695,0.04905021153037281,22.207000732421875,0.11474609375,490,0,2.548166587948799,0.08371572148209763,3.285331574396256,0.5859139796204476,0.019249216971272205,0.0703125,,
0.21899999999813735,1175,,,,-0.0625,-0.02734375,-1.037109375,0.0007059471680641085,0.04799012483207213,22.205331802368164,0.1188151016831398,489,0,2.6383287560062314,0.03618296807649303,1.371435155460496,0,0.018189592454246357,0.0703125,,
0.235,1175,,,,-0.041015625,-0.037109375,-1.037109375,0.0019800339298046365,0.04382398410775042,22.20880126953125,0.123046875,489,0,2.732723593711853,0.1014882424086788,3.7138129389378722,0.4318134107720324,0.016036742321320685,0.0703125,,
0.252,1175,,,,-0.041015625,-0.041015625,-1.0078125,0.0019898988285096497,0.04382398410775042,22.201602935791016,0.134765625,490,0,2.992012895643711,0.10205293709494385,3.4108454961384074,0.4294240357529274,0.014646990382814506,0.0703125,,
0.268,1175,,,,-0.046875,-0.029296875,-1.048828125,0.0032570621173001898,0.049018408929423794,22.2080020904541,0.1171875,490,0,2.60250024497509,0.16706115213045852,6.4192559617629374,0.29341596358167804,0.018835121734981038,0.0703125,,
0.28299999999813735,1175,,,,-0.01953125,-0.046875,-1.060546875,0.0033300635656572353,0.043018318217041905,22.20720100402832,0.13671875,490,0,3.036140762269497,0.17073758190028307,5.623506789344567,0.2519557659084463,0.014168749602006585,0.0703125,,
0.29899999999813737,1175,,,,-0.0625,-0.025390625,-0.9765625,0.0014840623410154552,0.0417886176470131,22.20720100402832,0.119140625,489,0,2.6457798071205616,0.07603414537597376,2.8737896166318833,0.5496033057302963,0.015794442732742837,0.0703125,,
0.316,1175,,,,-0.041015625,-0.0234375,-1.08203125,0.0012341515738217808,0.0417886176470131,22.20600128173828,0.11962890625,489,0,2.6564796455204487,0.06322008145396994,2.3798443763940105,0.6610022746876572,0.0157308254619907,0.0703125,,
0.332,1175,,,,-0.0625,-0.02734375,-0.982421875,0.0006949967935467458,0.042710893074534705,22.205331802368164,0.1220703125,490,0,2.71061179228127,0.0356330993368264,1.3145777436036805,0,0.015756919967720245,0.0703125,,
0.34699999999813735,1175,,,,-0.01953125,-0.046875,-1.017578125,0.0013640384950968885,0.0420854419225373,22.20880126953125,0.125,490,0,2.7761001586914062,0.06996438455446313,2.52023992489676,0.6015266508887286,0.015159914814592088,0.0703125,,
0.36299999999813737,1175,,,,-0.041015625,-0.03125,-1.056640625,0.001970503414975903,0.04613497311004592,22.20720100402832,0.12890625,490,0,2.8626470044255257,0.10108090442186367,3.531029297904948,0.4564163070553906,0.01611619352254165,0.0703125,,
0.3849949999991804,1175,,,,-0.041015625,-0.03125,-1.0390625,0.0027936059006754624,0.05018450429755455,22.211000442504883,0.11962890625,489,0,2.657077689655125,0.142972879342713,5.380831727252587,0.35100715973733615,0.018887104616074752,0.0703125,,
0.40099999999813735,1175,,,,-0.037109375,-0.0390625,-1.0234375,0.003908124490673877,0.05722347997427111,22.208574295043945,0.1171875,489,0,2.6025673002004623,0.1999349138925397,7.68221877978486,0.2862105415216643,0.021987319970501233,0.0703125,,
0.41799999999813736,1175,,,,-0.0625,-0.017578125,-1.03125,0.0026282174820930846,0.04766149795559891,22.20639991760254,0.130859375,489,0,2.9059156142175198,0.13455301365664935,4.630313867282779,0.35422096213482746,0.016401542330551393,0.068359375,,
0.4339999999981374,1175,,,,-0.0625,-0.03515625,-1.01171875,0.0011599122633038385,0.04108896042613465,22.20866584777832,0.1236979141831398,489,0,2.7471656421605104,0.05940370066351747,2.162363264590023,0.6916902476981416,0.014956855820976346,0.068359375,,
0.45,1175,,,,-0.041015625,-0.03515625,-1.060546875,0.0007278170933929146,0.03903239223143131,22.20720100402832,0.134765625,489,0,2.992767322808504,0.03727711522699601,1.245573451129974,0,0.013042240849783848,0.0703125,,
0.4659949999991804,1175,,,,-0.01953125,-0.017578125,-1.05078125,0.0019507816949996064,0.051605020473277474,22.20600128173828,0.12939453125,490,0,2.873335126787424,0.10003794346695563,3.48159678745182,0.5158544716617806,0.017959972713303112,0.068359375,,
0.482,1175,,,,-0.08203125,-0.0234375,-0.96484375,0.003726127564646517,0.05073574938067091,22.209335327148438,0.1236979141831398,490,0,2.7472484553621825,0.19113019668386916,6.957150028087707,0.2654512487348518,0.01846784162591591,0.068359375,,
0.4969999999981374,1175,,,,-0.01953125,-0.064453125,-1.04296875,0.002205061733903242,0.05073574938067091,22.20960235595703,0.115234375,490,0,2.559309646487236,0.11313332051649011,4.420462395856262,0.44845982729973666,0.019823998026306792,0.0703125,,
0.5129999999981374,1175,,,,-0.0625,-0.0234375,-0.98046875,0.002592323044073357,0.06144262503350785,22.20800018310547,0.1220703125,490,0,2.710937522351742,0.13310084258090504,4.909771674318775,0.46162461365456864,0.022664714522895493,0.0703125,,
0.528,1175,,,,-0.0625,-0.017578125,-1.01171875,0.00262190419270925,0.06144262503350785,22.20720100402832,0.125,490,0,2.77590012550354,0.13464084191668435,4.8503489257294845,0.4563446288573307,0.02213430680340574,0.0703125,,
0.5429999999981373,1175,,,,-0.03125,-0.041015625,-1.0703125,0.0020050929736616465,0.04891240025959372,22.207000732421875,0.126953125,491,0,2.819248139858246,0.10303111582203793,3.6545600355426116,0.47473425740703823,0.01734944844622761,0.0703125,,
0.5589999999981373,1175,,,,-0.041015625,-0.033203125,-0.984375,0.0018630988635478596,0.04426922052103671,22.2080020904541,0.125,491,0,2.7760002613067627,0.09583547432642159,3.452286214170182,0.46192937252288224,0.01594712404681029,0.0703125,,
