Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Airspeed (m/s),Airspeed Pressure (mm H2O),Electrical forward flight efficiency (%),Vibration (g),App message,
0,1000,,,,-0.0625,-0.025390625,-1.02734375,0.00007382526117912339,0.004083462464943951,22.20600128173828,0.06103515625,0,0,1.3553467579185963,0,0,0,0,0.34351197269729866,-0.007123916475928933,0.10353051054591766,0.05859375,,
0,1175,,,,-0.078125,-0.03125,-1.021484375,-0.007935280479913301,0.21429581177871648,22.207000732421875,0.10009765625,452,0,2.222868725657463,0.3758426083484687,16.907998390112077,0.5701743416489611,0.09640506850683848,1.2212752080741767,0.09004270103344393,11.777733933695842,0.08984375,,
0.016,1175,,,,-0.041015625,-0.021484375,-1.03125,0.0025049638247784225,0.14511336085948187,22.20479965209961,0.111328125,453,0,2.472018711268902,0.1188054643911573,4.806009916088934,0,0.058702371546772936,1.2494063484302034,0.09423873027870638,7.336816983417345,0.087890625,,
0.03299999999906868,1175,,,,-0.0625,-0.021484375,-1.0078125,0.01106429834363129,0.08889053028951674,22.204999923706055,0.11474609375,453,0,2.547937002964318,0.5249137174150115,20.601518671941925,0.16934312695668688,0.03488725591963217,1.3495003874013147,0.1099432667874268,4.7096448126351875,0.087890625,,
0.048,1175,,,,-0.0625,-0.01953125,-1.041015625,0.01756538988679733,0.08903022768963324,22.20560073852539,0.126953125,453,0,2.8190704062581062,0.8328182306378212,29.542299787512675,0.10690235205520014,0.03158141332404944,1.4534376739294572,0.12753105601229606,4.591729600536671,0.087890625,,
0.065,1175,,,,-0.0625,-0.01953125,-1.05859375,0.010019444010428258,0.08882605456638605,22.20400047302246,0.11474609375,452,0,2.5478223199024796,0.4746533174229379,18.629765259341386,0.18713880490429177,0.0348635200628064,1.516185877994563,0.13878052745571173,5.287763371407555,0.087890625,,
0.08,1175,,,,-0.046875,-0.03515625,-1.005859375,0.0020852815576710795,0.1163142045277719,22.20560073852539,0.1171875,452,0,2.602218836545944,0.09876712048899297,3.795496331895419,0,0.04469808722242653,1.4561543632751042,0.1280085771298054,6.510954869652028,0.087890625,,
0.097,1175,,,,-0.08203125,-0.056640625,-0.990234375,-0.0061945752247800235,0.15392504302067672,22.207000732421875,0.12451171875,452,0,2.7650318294763565,0.29343691928185667,10.612424643857642,0.5245592251901547,0.05566845248570868,1.4391836758299112,0.12504237342712704,8.014449624812183,0.087890625,,
0.11299999999906868,1175,,,,-0.041015625,-0.015625,-1.0625,-0.006460926988361479,0.20334568480035364,22.20400047302246,0.11328125,452,0,2.5152969285845757,0.30611310255329294,12.170058297075522,0.6642828520055003,0.08084361034654532,1.3972634626346736,0.11786419008196827,11.29984102272493,0.087890625,,
0.129,1175,,,,-0.0625,-0.052734375,-1.00390625,-0.0007596486068948788,0.19385700754628649,22.203001022338867,0.10986328125,452,0,2.4392945459112525,0.03599298947259515,1.4755491309127315,0,0.07947257040820666,1.3285560162011312,0.10655786548412494,10.561982916394356,0.08984375,,
0.146,1175,,,,-0.046875,-0.015625,-1.052734375,0.002227452175666408,0.17515904783838526,22.207000732421875,0.11962890625,453,0,2.656599208712578,0.10556667449711658,3.973752388049365,0,0.06593356169945921,1.26795755926348,0.09705898093122518,8.362951622126367,0.08984375,,
0.161,1175,,,,-0.041015625,-0.052734375,-1.03125,0.007885102098760758,0.0898254282749118,22.20400047302246,0.111328125,453,0,2.4719297401607037,0.3737522093865294,15.119855686603426,0.24033417333465332,0.03633818017379091,1.1854447738662413,0.08483779965997218,4.309162093642387,0.087890625,,
0.17599999999906868,1175,,,,-0.08203125,-0.00390625,-1.01171875,0.007273042855234406,0.07790816544958853,22.20400047302246,0.107421875,453,0,2.3851953633129597,0.34475123317039646,14.45379437144084,0.2259837179787018,0.03266322190957834,1.253672155247093,0.09488447216365965,4.096296005976764,0.08984375,,
