Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1179,,,,-0.08203125,0.009765625,-1.0390625,0.005554674007800561,0.16381132056738312,22.20400047302246,0.111328125,489,0,2.4719297401607037,0.28429871120704664,11.50108381270432,0.5761943832664229,0.06626859894356606,0.0703125,,
0,1179,,,,0,-0.033203125,-1.0234375,0.0050790896701702875,0.16499337549144585,22.20319938659668,0.1171875,489,0,2.6019374281167984,0.259861033678231,9.987213023270524,0.634929266446875,0.06341173838713829,0.0703125,,
0.01600499999523163,1179,,,,-0.078125,0.0078125,-1.0234375,0.004682966592009837,0.16707809053933825,22.20479965209961,0.11328125,489,0,2.515387460589409,0.23967105838660757,9.52819643660176,0.6971141683274443,0.06642240734562153,0.072265625,,
0.03,1179,,,,-0.041015625,-0.001953125,-1.03515625,0.004638580949367974,0.16707809053933825,22.20400047302246,0.1171875,489,0,2.6020313054323196,0.23755733675619106,9.129687881165658,0.7033169037031815,0.0642106381235789,0.072265625,,
0.045,1179,,,,-0.01953125,-0.01953125,-1.015625,0.004477956324777216,0.1679162749400373,22.20560073852539,0.130859375,489,0,2.905811034142971,0.2293659310991005,7.893353298066364,0.7320889991612874,0.057786371160078516,0.0703125,,
0.06100499999523163,1179,,,,-0.041015625,-0.04296875,-1.04296875,0.004880633606506143,0.16702436077006272,22.204801559448242,0.123046875,489,0,2.732231441885233,0.24976805175359335,9.141540790602058,0.6687178748338849,0.06113111730198681,0.0703125,,
0.0770050000026822,1179,,,,-0.01953125,0,-1.0234375,0.00577622361406421,0.1673145015241508,22.20560073852539,0.125,488,0,2.775700092315674,0.2952683326811293,10.637616560180923,0.5666523734695236,0.060278306718852294,0.0703125,,
0.094,1179,,,,-0.041015625,-0.015625,-1.02734375,0.006137044357889013,0.1673145015241508,22.20600128173828,0.12939453125,488,0,2.873335126787424,0.313637844106008,10.915463399379922,0.5334640084683128,0.058230068593223695,0.0703125,,
0.109,1179,,,,-0.015625,-0.04296875,-1.029296875,0.005668618988160662,0.16587454370756533,22.20720100402832,0.123046875,488,0,2.7325266860425472,0.2899007089647728,10.609254447378483,0.5721770888381011,0.06070372324443698,0.0703125,,
0.12600500000268222,1179,,,,-0.041015625,-0.03125,-1.02734375,0.005307443395809476,0.17071022294236737,22.20400047302246,0.1139322891831398,489,0,2.529752602914968,0.2715185401955228,10.73300764203816,0.6287240010182638,0.06748099507661834,0.0703125,,
