% Model:              LS_cruise.mph
% Version:            COMSOL 6.3.0.420
% Date:               Aug 28 2025, 08:30
% Table:              Accumulated Probe Table 4 - 
% AR                                              lambda                                            aoa_root (rad)                                    aoa_tip (rad)                                     U_cruise (m/s)                                    Max Wall Resolution (1), Max Wall Res             Lift (N), Lift                                    Drag (N), Drag                                    Lift over drag (1), L_D
8.224693448682892                                 0.6632579314222198                                0.15326074876551904                               0.08738649027718644                               31.079863316510508                                8.298707886111268                                 1.852448917258486                                 0.3069572266926344                                6.034876380719322
5.881934846443752                                 0.9553423210668843                                0.24728773369057477                               0.04756685804170176                               26.61671603960346                                 7.5024142348726075                                2.2475696917528145                                0.37126114424738105                               6.053878049395866
6.369636388495447                                 0.9230793647775803                                0.24081154427394386                               0.1361423560726254                                38.21164304198051                                 9.402714222156472                                 5.101827066922974                                 0.8706681248150839                                5.859669053586315
3.4008186622292396                                0.7586781368218886                                0.1662026437885935                                0.13293085917269096                               33.85569050538306                                 8.75287227873903                                  6.335035363691568                                 0.934714022856307                                 6.777511847241698
2.0195097399062907                                0.8891781948685177                                0.2244830744403085                                0.036776684359012324                              35.16207789380254                                 9.00929364779766                                  8.91374095143355                                  1.4191354132214353                                6.281106699465253
2.481017618339691                                 0.9113547240616415                                0.26013666988679396                               0.11461776104364532                               29.098463702220126                                8.05926782566541                                  7.414272174440158                                 1.1870531949137229                                6.2459477015931375
4.917652599841856                                 0.9685999512914334                                0.30783442538012096                               0.07294934651147726                               37.31098231350896                                 9.340764210943183                                 6.783826225286024                                 1.0845606352506696                                6.254907291299679
5.755669711573939                                 0.6643728341361086                                0.2564280030637325                                0.11701900404127166                               27.998310879157117                                7.912991983704521                                 3.338745793111388                                 0.5745036651125238                                5.8115308845896605
5.494269219030651                                 0.7852706679907067                                0.2837922471382889                                0.022317076722365128                              42.08941576134665                                 10.053186963957328                                7.031305430079377                                 1.083058553799581                                 6.49208245058606
8.521257534978044                                 0.7953845976959403                                0.29136764648969415                               0.09104501396339244                               44.874559758616954                                10.259797157856413                                4.839348410963346                                 0.9524647519014439                                5.080868768426714
4.877911006569098                                 0.8579758700261262                                0.192958032253383                                 0.07643338865715779                               44.08047584646634                                 10.38743997556107                                 7.450688979956593                                 1.0248376058392048                                7.27011668727308
9.935950294522696                                 0.8488884991059757                                0.17078858205062536                               0.10615015050060757                               39.60539920086201                                 9.470353292016469                                 2.0377745031805823                                0.44192513924778715                               4.6111305336671595
3.928522778887916                                 0.6260710502589429                                0.19748503731021735                               0.05800732935302792                               36.93823922278125                                 9.241359412031406                                 6.541490558861227                                 0.9084786094236917                                7.200489357708629
6.929983375220424                                 0.6409560681942676                                0.2122669474460914                                0.12210990422628712                               41.23237510635863                                 9.8372816751461                                   5.377768582132749                                 0.8558459056049249                                6.283571080861408
2.903849101958293                                 0.7286786016328384                                0.27805488345929513                               0.1020902759542123                                40.518084159451185                                9.902784291198712                                 13.581047264218148                                2.1777941794926834                                6.236148205420334
9.074424451383507                                 0.9463175623379314                                0.21935737545493034                               0.0391183503739543                                38.764943654119605                                9.342555579291062                                 2.111373109730376                                 0.4766848884719599                                4.429284755592946
7.849848040798393                                 0.707845207576772                                 0.23409899019068367                               0.02962609437563019                               28.527272650663036                                7.915362649578406                                 1.932802203798007                                 0.31560622456791676                               6.124094055635706
4.43590630197529                                  0.9850792832152485                                0.15461578193810707                               0.08116680685265691                               32.698748814300004                                8.579888245600555                                 3.6141001856213517                                0.5526328159515584                                6.539785697304934
7.557135945821495                                 0.6113431425744327                                0.3055115343457841                                0.06572954187479797                               35.78573281769086                                 9.1317714789379                                   4.1467316075625185                                0.7522732380211089                                5.512267880844328
8.901618930546608                                 0.684700736624376                                 0.20300346503263403                               0.04652364217918818                               42.64690424086123                                 9.912327305403313                                 3.1092606892937065                                0.57915390564188                                  5.368625954179991
