% Model:              LS_cruise.mph
% Version:            COMSOL 6.3.0.420
% Date:               Sep 5 2025, 18:19
% Table:              Accumulated Probe Table 7 - 
% AR                                              lambda                                            aoa_root (deg)                                    aoa_tip (deg)                                     Max wall resolution (1), wall_res_max             Lift (N), Lift                                    Drag (N), Drag                                    Lift over drag (1), L_D                           Cruise velocity (m/s), U_cruise
20.96626385724325                                 0.9100545429063998                                8.012926003389083                                 17.510697173523504                                6.64047258609132                                  1.479134735268479                                 0.3450451868643479                                4.286785590926066                                 20
31.06530047805182                                 0.8035251022981922                                26.347152478333324                                19.30230956843685                                 6.432750800958068                                 0.9414115986187063                                0.4740425702114073                                1.9859220622292801                                20
25.37937051959642                                 0.553490311232477                                 16.61631977587252                                 8.987321815403664                                 6.58306751331553                                  1.1731478555930461                                0.34656071902997737                               3.3851149053380447                                20
23.484719411539622                                0.99809700143763                                  18.412080369286333                                16.95640552856956                                 6.631946435335295                                 1.4478961250605424                                0.44882830729415996                               3.2259465402025054                                20
30.48062463928215                                 0.6946502374940331                                33.72879276896283                                 11.799196166599284                                6.479400462858711                                 1.0512594629146974                                0.5399782112162123                                1.9468553380087472                                20
28.17146442486514                                 0.8341127890710138                                8.768363261369915                                 6.636532206349088                                 6.660451834199165                                 0.6677585864578881                                0.1627653053292255                                4.102585530173107                                 20
22.414730072432413                                0.8623079941122096                                33.878369890095044                                5.683768725977455                                 6.60648919070108                                  1.528184045738926                                 0.6326881216025494                                2.4153828617299715                                20
28.624544682088626                                0.926101014801807                                 21.68823616014874                                 12.545050685717568                                6.5870024945684165                                1.0073151141606949                                0.3487777076739618                                2.8881292926620636                                20
20.3780933952463                                  0.5988295401249633                                16.063085497295223                                0.9398402081711663                                6.672838746230682                                 1.4121373912294042                                0.3024743919005957                                4.6686180021926775                                20
18.988442611402892                                0.784622052835938                                 28.918661774967845                                14.143315860145506                                6.642256679648301                                 2.259744491962338                                 0.8220927839889991                                2.7487706205101263                                20
24.843640687678196                                0.9718367108472342                                24.01127690854465                                 5.081645977298616                                 6.5305993131101046                                1.1612353574153669                                0.35159620720486673                               3.3027527988626533                                20
27.152245845272585                                0.5346970741672634                                12.599130582749275                                19.711117065887084                                6.624488828894533                                 1.142066132838159                                 0.3658832398189366                                3.1213950477844516                                20
29.490600081577455                                0.8779990904413668                                29.088646118921567                                3.506620675540651                                 6.517488984477015                                 0.8867901117638375                                0.35207145442898785                               2.5187787893854985                                20
29.13717265116979                                 0.5436249695443329                                24.98573976820926                                 15.570764117329947                                6.624815832211273                                 1.1640595113753613                                0.544023947341537                                 2.139721085925961                                 20
25.97711071097451                                 0.6868206668385072                                30.02577141141971                                 0.19615039577053217                               6.410062818175159                                 1.2214510460168684                                0.4627864075679949                                2.63934079748746                                  20
29.94683646024216                                 0.7408795750302364                                17.997300384314524                                -0.08937097254957571                              6.504957258076544                                 0.7619334919966074                                0.20826626492817776                               3.658458523080375                                 20
20.10152705329457                                 0.9036563291210141                                20.207170827912215                                9.607204901750434                                 6.67919823440255                                  1.7657451229422985                                0.4475550010395771                                3.945314249289675                                 20
30.639166624509077                                0.7725939872697243                                13.041907661543963                                16.208659091355315                                6.575908155003955                                 0.8409257365627429                                0.28209162226972007                               2.9810376139377057                                20
21.317127760851495                                0.6317692321663579                                32.75407000138462                                 20.174074037404278                                6.695594498629402                                 1.8995224806276905                                1.0307124370758873                                1.842921858997454                                 20
23.11470743133733                                 0.6155036100215461                                20.746801691255133                                18.139895612854886                                6.5755051673935245                                1.5625543028132354                                0.6129754266741002                                2.5491304134186716                                20
26.235235308873737                                0.9375582313386734                                27.454480219166932                                22.45666301538037                                 6.365716418982479                                 1.2145969915513586                                0.6407228753241716                                1.895666657658879                                 20
21.549463760400172                                0.9894667350371067                                30.96343743252554                                 15.396033193629131                                6.526908811484292                                 1.6961459226632445                                0.7477286122364545                                2.2683977781592124                                20
30.9386448223365                                  0.5879589022909356                                14.97534094548022                                 8.431253570013025                                 6.486813316502117                                 0.8385009821988665                                0.2405524502637417                                3.4857303730622324                                20
22.740328078938237                                0.7257145541839297                                22.29846468000087                                 6.407905752663888                                 6.604705394279404                                 1.5286162055325896                                0.4228589369144927                                3.6149554191441737                                20
